TOT_raw,n,perc,cum_per,cutoff,total_n,median_TOT_raw,mean_TOT_raw,sd_TOT_raw
18,200,25.74,25.74,,777,21,23.27,6.1
19,62,7.9794,33.7194,,,,,
20,91,11.7117,45.4311,,,,,
21,65,8.3655,53.7967,,,,,
22,53,6.8211,60.6178,,,,,
23,37,4.7619,65.3797,,,,,
24,32,4.1184,69.4981,,,,,
25,25,3.2175,72.7156,,,,,
26,28,3.6036,76.3192,,,,,
27,29,3.7323,80.0515,,,,,
28,29,3.7323,83.7838,,,,,
29,11,1.4157,85.1995,,,,,
30,21,2.7027,87.9022,,,,,
31,9,1.1583,89.0605,,,,,
32,11,1.4157,90.4762,cutoff,,,,
33,7,0.9009,91.3771,,,,,
34,9,1.1583,92.5354,,,,,
35,7,0.9009,93.4363,,,,,
36,5,0.6435,94.0798,,,,,
37,5,0.6435,94.7233,,,,,
38,10,1.287,96.0103,,,,,
39,7,0.9009,96.9112,,,,,
40,4,0.5148,97.426,,,,,
41,6,0.7722,98.1982,,,,,
42,4,0.5148,98.713,,,,,
43,6,0.7722,99.4852,,,,,
44,4,0.5148,100,,,,,
