mod_var,mod_val,n,mean_TOT,sd_TOT,ES_lag,ES_grand
Age Range,12 to 13 years,202,67.64,16.37,,-0.07
"",14 to 15 years,190,69.5,20.76,0.1,0.02
"",16 to 17 years,199,69.18,19.2,-0.02,0.01
"",18 to 21 years,54,72.3,24.27,0.14,0.17
Gender,Male,332,71.08,22.7,,0.11
"",Female,313,66.9,14.68,-0.22,-0.11
Ethnicity,Hispanic,155,66.99,14.3,,-0.11
"",Asian,12,72.08,17.94,0.32,0.16
"",Black,136,73.86,25.21,0.08,0.25
"",White,297,66.07,11.88,-0.42,-0.15
"",AmericanIndAlaskanNat,6,148.83,44.99,2.91,4.13
"",NativeHawPacIsl,3,95,59.76,-1.03,1.34
"",MultiRacial,27,69.74,22.74,-0.61,0.04
"",Other,9,62.22,2.64,-0.59,-0.35
Region,northeast,69,63.54,7.13,,-0.29
"",midwest,169,70.72,20.36,0.52,0.09
"",south,251,69.79,19.04,-0.05,0.04
"",west,155,68.55,21.92,-0.06,-0.03
