age_range,TOT_raw,n,perc,cum_per
21.00 to 30.99 years,60,3,1.0601,1.0601
21.00 to 30.99 years,62,1,0.3534,1.4134
21.00 to 30.99 years,63,1,0.3534,1.7668
21.00 to 30.99 years,65,1,0.3534,2.1201
21.00 to 30.99 years,66,3,1.0601,3.1802
21.00 to 30.99 years,68,1,0.3534,3.5336
21.00 to 30.99 years,70,1,0.3534,3.8869
21.00 to 30.99 years,72,4,1.4134,5.3004
21.00 to 30.99 years,73,3,1.0601,6.3604
21.00 to 30.99 years,74,3,1.0601,7.4205
21.00 to 30.99 years,75,1,0.3534,7.7739
21.00 to 30.99 years,76,2,0.7067,8.4806
21.00 to 30.99 years,77,2,0.7067,9.1873
21.00 to 30.99 years,78,3,1.0601,10.2473
21.00 to 30.99 years,79,3,1.0601,11.3074
21.00 to 30.99 years,80,4,1.4134,12.7208
21.00 to 30.99 years,81,5,1.7668,14.4876
21.00 to 30.99 years,82,5,1.7668,16.2544
21.00 to 30.99 years,83,4,1.4134,17.6678
21.00 to 30.99 years,84,4,1.4134,19.0813
21.00 to 30.99 years,85,8,2.8269,21.9081
21.00 to 30.99 years,86,4,1.4134,23.3216
21.00 to 30.99 years,87,6,2.1201,25.4417
21.00 to 30.99 years,88,9,3.1802,28.6219
21.00 to 30.99 years,89,3,1.0601,29.682
21.00 to 30.99 years,90,7,2.4735,32.1555
21.00 to 30.99 years,91,3,1.0601,33.2155
21.00 to 30.99 years,92,6,2.1201,35.3357
21.00 to 30.99 years,93,5,1.7668,37.1025
21.00 to 30.99 years,94,5,1.7668,38.8693
21.00 to 30.99 years,95,5,1.7668,40.636
21.00 to 30.99 years,96,5,1.7668,42.4028
21.00 to 30.99 years,97,4,1.4134,43.8163
21.00 to 30.99 years,98,6,2.1201,45.9364
21.00 to 30.99 years,99,7,2.4735,48.4099
21.00 to 30.99 years,100,4,1.4134,49.8233
21.00 to 30.99 years,101,4,1.4134,51.2367
21.00 to 30.99 years,102,4,1.4134,52.6502
21.00 to 30.99 years,103,8,2.8269,55.477
21.00 to 30.99 years,104,5,1.7668,57.2438
21.00 to 30.99 years,105,2,0.7067,57.9505
21.00 to 30.99 years,106,2,0.7067,58.6572
21.00 to 30.99 years,107,4,1.4134,60.0707
21.00 to 30.99 years,108,9,3.1802,63.2509
21.00 to 30.99 years,109,6,2.1201,65.371
21.00 to 30.99 years,110,4,1.4134,66.7845
