IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
105001,SM,26,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,74,11,13,14,12,11,13,11,10
105004,SM,25,Female,Bachelor's degree or higher,White,south,21 to 31.5 mo,90,15,13,16,18,14,15,14,10
105005,SM,15,Female,Bachelor's degree or higher,MultiRacial,midwest,09.5 to 20 mo,89,10,17,18,16,12,12,14,10
105007,SM,5,Female,Bachelor's degree or higher,White,midwest,03.5 to 6 mo,102,18,26,15,17,14,13,17,29
105009,SM,30,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,81,14,13,11,16,12,16,13,10
105010,SM,21,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,91,13,16,16,14,15,15,15,10
105014,SM,23,Male,Bachelor's degree or higher,White,south,21 to 31.5 mo,82,12,14,16,14,14,13,11,13
105015,SM,24,Female,Some college or associate degree,Black,midwest,21 to 31.5 mo,81,11,15,15,15,11,15,10,10
105017,SM,30,Female,Some college or associate degree,White,midwest,21 to 31.5 mo,84,15,12,19,16,11,13,13,10
105018,SM,27,Female,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,75,12,12,13,14,11,14,11,10
105019,SM,5,Female,Some college or associate degree,Hispanic,northeast,03.5 to 6 mo,96,17,20,15,17,13,16,15,18
105024,SM,21,Female,Bachelor's degree or higher,White,west,21 to 31.5 mo,98,14,18,17,13,16,19,15,14
105029,SM,7,Male,Bachelor's degree or higher,White,midwest,07 to 10.5 mo,61,10,10,10,10,10,11,10,10
105033,SM,15,Male,Bachelor's degree or higher,White,midwest,09.5 to 20 mo,75,16,12,11,13,11,14,14,11
105037,SM,21,Male,Bachelor's degree or higher,White,midwest,21 to 31.5 mo,82,20,14,14,11,14,15,14,13
105039,SM,20,Female,Bachelor's degree or higher,White,west,09.5 to 20 mo,74,12,12,15,10,12,14,11,12
