T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,-,-,-,-,-,-,-,-,-
79,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,-,-,-
77,32--40,28--40,-,25--40,34--40,28--40,157--240,33--40,35--40
76,-,-,-,-,-,-,-,-,-
75,-,-,-,-,-,-,-,-,-
74,-,-,26--40,-,-,-,-,-,-
73,30--31,24--27,-,23--24,27--33,24--27,133--156,-,31--34
72,-,-,-,-,-,-,-,32,-
71,-,-,22--25,-,23--26,23,130--132,-,-
70,28--29,-,-,20--22,-,22,123--129,31,29--30
69,-,21--23,21,-,21--22,-,-,-,-
68,-,-,-,18--19,-,21,119--122,30,26--28
67,27,-,20,-,-,20,114--118,-,-
66,-,20,-,-,20,-,111--113,-,25
65,-,-,-,16--17,-,-,107--110,29,24
64,26,19,19,-,19,19,104--106,-,23
63,-,-,-,15,-,-,103,28,22
62,-,18,18,-,18,-,-,27,21
61,-,-,-,14,-,18,102,-,20
60,25,17,-,-,-,-,101,26,-
59,-,-,17,13,17,17,99--100,25,19
58,-,16,-,-,-,-,97--98,24,-
57,24,-,16,12,16,-,96,23,18
56,-,-,-,-,-,16,94--95,22,-
55,23,15,-,-,-,-,93,21,17
54,-,-,-,-,15,-,92,20,-
53,-,-,15,-,-,-,91,19,16
52,22,-,-,11,-,15,90,18,-
51,-,-,-,-,-,-,-,17,-
50,21,14,-,-,14,-,89,16,15
49,-,-,14,-,-,14,88,15,-
48,20,-,-,-,-,-,-,14,14
47,-,-,-,-,-,-,87,13,-
46,-,13,-,-,13,13,-,12,-
45,19,-,13,-,-,-,86,11,13
44,-,-,-,-,-,-,85,-,-
43,18,-,-,10,-,12,84,-,-
42,-,-,-,-,-,-,83,-,12
41,17,12,12,-,-,-,81--82,-,-
40,10--16,10--11,10--11,-,10--12,10--11,60--80,10,10--11
