T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,33--40,29--40,27--40,24--40,-,-,145--240,31--40,34--40
79,-,-,-,-,-,-,142--144,-,-
78,-,-,-,-,-,-,-,-,32--33
77,-,26--28,-,-,27--40,-,137--141,29--30,-
76,-,-,24--26,-,-,25--40,136,28,31
75,-,-,-,22--23,26,-,-,-,-
74,26--32,25,-,-,-,24,-,27,-
73,-,-,23,-,25,-,-,-,-
72,25,24,-,21,-,23,-,26,-
71,-,-,22,-,-,-,126--135,25,28--30
70,-,23,-,20,24,-,125,-,27
69,24,-,-,-,-,22,122--124,24,-
68,-,-,21,-,23,-,121,-,26
67,23,22,-,19,-,21,120,23,-
66,-,-,-,-,22,-,117--119,22,25
65,22,21,20,18,-,20,115--116,-,-
64,-,-,-,-,-,-,113--114,21,24
63,-,20,-,-,21,-,112,-,23
62,21,-,19,17,-,19,110--111,20,-
61,-,-,-,-,20,-,108--109,-,22
60,20,19,18,-,-,-,106--107,19,-
59,-,-,-,16,-,18,105,-,21
58,-,-,-,-,19,-,103--104,18,-
57,19,18,17,-,-,17,101--102,-,20
56,-,-,-,15,18,-,100,17,-
55,18,17,-,-,-,-,98--99,-,19
54,-,-,16,-,-,16,96--97,16,-
53,-,-,-,14,17,-,95,-,18
52,17,16,-,-,-,-,93--94,15,-
51,-,-,15,-,-,15,92,-,-
50,16,-,-,13,16,-,90--91,14,17
49,-,15,-,-,-,-,88--89,-,-
48,-,-,-,-,-,14,87,-,16
47,15,-,14,12,15,-,85--86,13,-
46,-,14,-,-,-,-,84,-,15
45,-,-,-,-,-,13,82--83,12,-
44,14,-,13,-,14,-,81,-,14
43,-,13,-,11,-,-,79--80,11,-
42,-,-,-,-,-,12,78,-,-
41,13,-,12,-,13,-,76--77,-,13
40,10--12,10--12,10--11,10,10--12,10--11,60--75,10,10--12
