T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,26--40,23--40,21--40,18--40,23--40,21--40,120--240,29--40,-
79,-,22,-,-,-,-,-,28,-
78,24--25,-,-,-,22,-,115--119,-,-
77,23,21,18--20,17,-,-,112--114,26--27,36--40
76,-,-,-,-,21,19--20,111,-,-
75,22,-,-,-,-,-,-,25,-
74,-,20,-,-,20,-,-,24,33--35
73,-,-,17,16,-,18,105--110,-,32
72,21,19,-,-,19,-,103--104,23,31
71,-,-,-,-,-,-,101--102,-,30
70,20,-,16,-,-,17,100,22,29
69,-,18,-,15,18,-,98--99,21,28
68,19,-,-,-,-,-,97,-,27
67,-,17,-,-,17,16,95--96,20,26
66,18,-,15,-,-,-,93--94,-,25
65,-,-,-,14,-,-,91--92,19,-
64,-,16,-,-,16,-,90,-,24
63,17,-,-,-,-,15,88--89,18,23
62,-,-,14,-,-,-,87,-,22
61,-,15,-,13,15,-,85--86,17,-
60,16,-,-,-,-,14,84,-,21
59,-,-,-,-,-,-,82--83,-,20
58,-,14,13,-,14,-,81,16,-
57,15,-,-,-,-,-,80,-,19
56,-,-,-,12,-,13,78--79,15,-
55,-,-,-,-,-,-,77,-,18
54,14,13,-,-,13,-,76,14,17
53,-,-,12,-,-,-,74--75,-,-
52,-,-,-,-,-,-,73,-,16
51,13,-,-,-,12,12,72,13,-
50,-,12,-,11,-,-,71,-,15
49,-,-,-,-,-,-,69--70,-,-
48,-,-,11,-,-,-,68,12,14
47,12,-,-,-,11,11,67,-,-
46,-,11,-,-,-,-,66,-,-
45,-,-,-,10,-,-,65,11,13
44,11,-,-,-,-,-,64,-,-
43,-,-,10,-,-,-,63,-,12
42,-,10,-,-,10,10,62,-,-
41,-,-,-,-,-,-,61,10,-
40,10,-,-,-,-,-,60,-,10--11
