T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,40,-,32--40,33--40,28--40,35--40,-,32--40,32--40
79,-,-,-,-,-,-,176--240,-,-
78,30--39,31--40,31,-,-,32--34,-,31,31
77,-,-,-,-,-,-,-,-,-
76,28--29,-,29--30,31--32,27,30--31,174--175,-,-
75,-,30,-,-,-,-,163--173,30,-
74,27,29,28,30,-,29,159--162,-,29--30
73,-,-,27,-,26,-,158,29,-
72,26,28,26,29,-,27--28,152--157,28,-
71,-,-,25,28,25,25--26,148--151,27,28
70,25,27,-,-,-,24,145--147,-,-
69,24,-,24,27,24,-,140--144,26,27
68,23,26,23,26,23,23,132--139,25,-
67,-,25,-,-,21--22,-,123--131,-,26
66,22,24,22,25,-,22,118--122,24,25
65,21,23,-,23--24,20,21,115--117,23,24
64,-,22,21,-,19,20,113--114,22,-
63,20,21,20,22,18,19,110--112,21,-
62,19,-,19,21,17,18,106--109,-,23
61,18,20,-,20,-,17,104--105,20,-
60,-,-,18,-,16,16,102--103,19,22
59,17,19,-,19,-,-,99--101,18,21
58,-,-,17,18,15,15,97--98,-,-
57,16,18,-,-,14,-,94--96,17,20
56,-,17,16,17,-,14,91--93,-,19
55,15,-,-,-,-,-,89--90,16,-
54,-,16,15,16,13,13,87--88,-,18
53,14,-,-,-,-,-,85--86,15,-
52,-,15,-,15,-,-,82--84,-,17
51,13,-,14,-,12,12,80--81,14,-
50,-,14,-,14,-,-,79,-,16
49,-,-,-,-,-,-,77--78,13,-
48,12,13,13,13,-,-,76,-,15
47,-,-,-,-,11,11,74--75,12,-
46,-,-,-,-,-,-,73,-,-
45,-,12,12,12,-,-,72,-,14
44,11,-,-,-,-,-,71,11,-
43,-,-,-,-,-,-,70,-,13
42,-,-,-,11,-,-,69,-,-
41,-,11,11,-,-,-,67--68,-,-
40,10,10,10,10,10,10,60--66,10,10--12
