T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,32--40,35--40,33--40,33--40,32--40,28--40,158--240,36--40,40
79,28--31,-,28--32,31--32,31,27,155--157,-,37--39
78,-,34,-,30,-,-,152--154,35,36
77,27,33,-,-,30,26,150--151,34,33--35
76,-,32,27,28--29,-,25,147--149,-,-
75,-,-,-,-,29,-,145--146,33,-
74,26,31,-,27,28,24,141--144,31--32,32
73,-,29--30,26,-,-,23,137--140,28--30,-
72,25,27--28,25,26,27,22,132--136,27,31
71,23--24,26,-,25,25--26,-,130--131,26,-
70,-,25,24,-,24,21,126--129,-,30
69,22,24,22--23,24,23,20,123--125,25,29
68,21,23,-,23,22,19,120--122,24,28
67,-,22,21,22,-,-,118--119,23,-
66,20,21,20,-,21,18,114--117,22,27
65,-,20,19,21,-,17,110--113,21,26
64,19,19,-,20,20,-,106--109,-,-
63,18,18,18,-,19,16,104--105,20,25
62,-,-,-,19,-,-,99--103,19,-
61,17,17,17,-,18,15,96--98,-,24
60,16,16,-,18,-,-,93--95,18,23
59,-,-,16,-,17,14,91--92,-,22
58,15,15,-,17,-,-,89--90,17,-
57,-,14,-,16,16,-,87--88,-,21
56,-,-,15,-,-,13,85--86,16,-
55,14,-,-,15,15,-,84,15,20
54,-,13,-,-,-,-,82--83,-,-
53,-,-,14,-,14,12,80--81,14,19
52,13,-,-,14,-,-,78--79,-,18
51,-,12,-,-,13,-,77,-,17
50,-,-,13,-,-,-,75--76,13,16
49,12,-,-,13,-,11,74,-,-
48,-,-,-,-,12,-,72--73,12,15
47,-,11,12,-,-,-,71,-,-
46,-,-,-,12,-,-,70,-,14
45,11,-,-,-,11,-,69,11,-
44,-,-,-,-,-,-,68,-,13
43,-,-,11,11,-,-,67,-,-
42,-,-,-,-,-,-,66,-,12
41,-,-,-,-,-,10,65,-,-
40,10,10,10,10,10,-,60--64,10,10--11
