T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,-,-,40,36--40,-,-,-,-,-
79,-,-,-,-,-,-,190--240,-,-
78,-,-,35--39,-,-,-,-,-,-
77,-,38--40,34,33--35,35--40,-,179--189,-,-
76,34--40,37,-,-,-,36--40,177--178,37--40,33--40
75,32--33,36,32--33,32,31--34,-,172--176,35--36,32
74,31,35,31,31,29--30,34--35,166--171,34,-
73,30,34,-,30,28,32--33,162--165,33,-
72,29,33,30,29,-,31,158--161,31--32,30--31
71,28,32,29,-,25--27,30,155--157,30,29
70,27,31,28,28,24,29,152--154,29,-
69,26,-,27,27,23,28,148--151,28,28
68,-,30,-,-,-,27,145--147,27,27
67,25,29,26,26,22,26,141--144,-,-
66,24,28,25,25,21,25,138--140,26,26
65,23,27,-,-,20,24,134--137,25,25
64,-,-,24,24,-,-,131--133,24,-
63,22,26,-,-,19,23,128--130,23,24
62,21,25,23,23,18,22,125--127,-,-
61,-,-,22,-,-,-,122--124,22,23
60,20,24,-,22,17,21,120--121,21,-
59,-,23,21,21,-,20,117--119,-,22
58,19,-,-,-,16,-,115--116,20,-
57,-,22,20,20,-,19,112--114,19,21
56,18,21,-,-,-,-,110--111,-,-
55,-,-,19,19,15,18,107--109,18,20
54,17,20,-,-,-,-,105--106,-,-
53,-,-,18,-,14,17,103--104,17,19
52,16,19,-,18,-,-,101--102,-,-
51,-,-,17,-,-,16,98--100,16,18
50,15,18,-,17,13,-,96--97,-,-
49,-,-,-,-,-,15,94--95,-,-
48,-,17,16,16,-,-,92--93,15,17
47,14,-,-,-,-,-,91,-,-
46,-,16,-,-,12,14,89--90,14,16
45,-,-,15,15,-,-,87--88,-,-
44,13,15,-,-,-,-,85--86,-,-
43,-,-,14,14,-,13,83--84,13,15
42,-,-,-,-,11,-,82,-,-
41,-,14,-,-,-,-,80--81,-,-
40,10--12,10--13,10--13,10--13,10,10--12,60--79,10--12,10--14
