T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,-,-,-,-,-,-,-,-,-
79,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,-,-,-
77,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-
75,-,-,-,-,-,-,-,-,-
74,-,-,-,-,-,-,-,-,-
73,-,-,-,-,-,-,-,-,-
72,-,-,-,-,-,-,-,-,-
71,36--40,-,-,33--40,-,-,-,32--40,35--40
70,-,-,-,31--32,36--40,31--40,181--240,29--31,-
69,31--35,31--40,31--40,-,-,27--30,176--180,-,32--34
68,-,29--30,-,26--30,-,26,153--175,26--28,-
67,28--30,26--28,25--30,-,27--35,22--25,145--152,25,29--31
66,26--27,-,23--24,-,25--26,-,137--144,23--24,28
65,25,22--25,22,22--25,24,19--21,132--136,22,27
64,24,-,20--21,21,23,-,127--131,-,26
63,23,20--21,19,-,21--22,-,121--126,20--21,-
62,-,19,-,20,20,17--18,-,19,25
61,21--22,18,17--18,19,-,16,-,18,24
60,20,-,-,18,19,-,106--120,-,23
59,19,17,16,-,18,15,101--105,17,22
58,18,16,-,17,17,-,98--100,-,21
57,-,-,15,-,-,14,95--97,16,-
56,17,15,-,16,16,-,92--94,-,20
55,-,-,14,-,-,-,90--91,15,19
54,16,-,-,15,15,13,88--89,-,-
53,-,14,-,-,-,-,84--87,-,18
52,15,-,13,-,14,-,82--83,14,-
51,-,-,-,14,-,-,-,-,17
50,14,13,-,-,-,12,79--81,-,-
49,-,-,12,-,13,-,77--78,13,16
48,-,-,-,13,-,-,-,-,-
47,13,12,-,-,-,-,74--76,-,15
46,-,-,-,-,12,-,73,12,-
45,-,-,-,12,-,11,72,-,14
44,12,-,11,-,-,-,70--71,-,-
43,-,-,-,-,-,-,-,-,13
42,-,11,-,-,11,-,68--69,-,-
41,-,-,-,-,-,-,67,11,-
40,10--11,10,10,10--11,10,10,60--66,10,10--12
