T,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,TOT_raw,PLA_raw,SOC_raw
80,-,-,-,-,-,-,-,-,-
79,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,-,-,-
77,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-
75,30--40,-,-,-,-,-,-,-,-
74,-,-,-,22--40,-,-,-,-,-
73,-,31--40,-,19--21,-,-,169--240,-,36--40
72,-,-,26--40,18,-,-,-,-,-
71,21--29,-,23--25,16--17,-,22--40,124--168,-,-
70,20,23--30,-,15,-,19--21,111--123,-,-
69,-,22,18--22,-,27--40,17--18,103--110,29--40,-
68,-,20--21,17,14,21--26,16,-,-,-
67,-,19,16,-,18--20,15,94--102,22--28,28--35
66,17--19,18,-,-,16--17,-,-,20--21,27
65,16,-,15,13,-,14,88--93,19,-
64,-,17,-,-,15,-,85--87,18,25--26
63,-,16,14,-,14,13,-,17,24
62,15,-,-,-,-,-,82--84,16,23
61,-,-,-,12,-,-,80--81,-,22
60,14,15,13,-,13,-,78--79,15,21
59,-,-,-,-,-,12,77,-,20
58,-,14,-,-,-,-,76,14,-
57,-,-,-,-,12,-,74--75,-,19
56,13,-,-,-,-,-,73,-,-
55,-,13,12,-,-,-,72,13,18
54,-,-,-,11,-,-,71,-,17
53,-,-,-,-,-,11,-,-,-
52,12,-,-,-,-,-,70,-,16
51,-,-,-,-,11,-,69,12,-
50,-,12,-,-,-,-,68,-,15
49,-,-,11,-,-,-,-,-,-
48,-,-,-,-,-,-,67,-,14
47,-,-,-,-,-,-,66,-,-
46,-,-,-,-,-,-,-,11,-
45,11,11,-,-,-,-,65,-,13
44,-,-,-,-,-,-,-,-,-
43,-,-,-,10,-,-,64,-,-
42,-,-,-,-,10,10,-,-,12
41,-,-,-,-,-,-,63,-,-
40,10,10,10,-,-,-,60--62,10,10--11
