IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0031,q0033,q0034,q0036,q0037,q0039,q0040,q0041,q0042,q0043,q0045,q0046,q0047,q0048,q0050,q0053,q0055,q0056,q0057,q0058,q0060,q0061,q0063,q0064,q0065,q0066,q0069,q0071,q0072,q0073,q0074,q0075,q0076,q0079,q0080,q0081,q0084,q0086,q0087,q0088,q0090,q0091,q0092,q0094,q0095,q0096,q0097,q0099,q0100,q0103,q0105,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0129,q0131,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
141015,SM,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,3,2,1,1,3,2,2,2,1,1,2,1,1,1,1,1,2,3,2,1,2,1,2,2,1,2,3,3,3,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,3,2,1,1,2,1,1,4,2,83,18,15,20,14,11,12,11,19,52,53,55,61,51,42,51,46,60
141024,SM,25,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,1,3,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,66,18,11,11,11,10,10,13,13,40,53,44,42,41,36,39,54,49
141025,SM,22,21.00 to 30.99 years,Male,Some college or associate degree,Asian,south,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,95,19,15,19,16,14,14,17,18,57,55,55,59,57,50,56,61,58
141029,SM,34,31.00 to 40.99 years,Female,Some college or associate degree,Hispanic,south,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,3,2,2,1,1,4,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,3,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,3,2,2,2,2,2,2,1,2,2,98,11,17,19,16,19,14,13,20,58,36,59,59,57,59,56,54,61
141030,SM,41,41.00 to 50.99 years,Female,Some college or associate degree,White,south,2,2,2,2,3,2,3,3,3,3,1,1,2,2,1,2,1,1,1,1,1,3,1,1,1,2,2,2,3,3,3,1,3,1,2,1,1,2,4,2,2,2,3,1,2,4,3,3,4,4,3,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,3,3,2,2,2,1,2,1,2,1,2,1,2,114,25,13,19,20,28,16,18,16,64,65,51,59,63,70,60,61,55
141031,SM,42,41.00 to 50.99 years,Male,Some college or associate degree,White,south,2,3,3,2,1,2,2,2,1,2,3,3,2,3,2,3,2,3,1,4,2,1,2,3,2,1,1,3,3,2,1,3,2,1,2,2,2,1,3,1,2,4,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,3,4,1,1,2,2,3,4,106,20,26,20,18,16,14,12,23,61,57,70,61,60,54,56,51,65
141032,SM,45,41.00 to 50.99 years,Male,Some college or associate degree,White,south,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,10,10,10,10,10,10,10,10,29,31,38,35,34,36,39,39,37
141033,SM,41,41.00 to 50.99 years,Female,Bachelor's degree or higher,White,south,2,3,1,2,2,3,3,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,73,22,11,12,14,13,12,11,14,46,60,44,45,51,48,51,46,51
141061,SM,65,65.00 to 99.99 years,Male,Bachelor's degree or higher,White,south,2,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,4,2,1,1,1,2,1,1,1,1,2,2,3,1,3,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,87,16,14,17,13,17,14,12,15,53,50,53,56,48,56,56,51,53
141062,SM,65,65.00 to 99.99 years,Female,Bachelor's degree or higher,MultiRacial,south,1,3,2,1,1,2,1,2,1,2,4,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,3,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,4,98,16,20,20,14,16,10,18,19,58,50,62,61,51,54,39,61,60
