IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0013,q0014,q0016,q0018,q0020,q0021,q0023,q0024,q0026,q0027,q0029,q0030,q0031,q0032,q0033,q0034,q0036,q0037,q0040,q0041,q0043,q0044,q0046,q0047,q0049,q0050,q0051,q0053,q0054,q0057,q0058,q0059,q0060,q0061,q0062,q0063,q0064,q0067,q0068,q0069,q0073,q0075,q0076,q0077,q0081,q0082,q0083,q0084,q0086,q0087,q0089,q0090,q0091,q0092,q0093,q0096,q0098,q0099,q0100,q0101,q0103,q0104,q0105,q0106,q0108,q0111,q0113,q0114,q0115,q0117,q0118,q0119,q0122,q0126,q0127,q0128,q0129,q0130,q0131,q0132,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
100001,In-house-Eng,48,41.00 to 50.99 years,Male,Bachelor's degree or higher,White,west,1,1,3,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,2,3,2,2,3,2,2,2,1,2,2,2,2,2,2,1,1,1,2,4,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,96,16,14,21,16,19,13,13,15,50,46,47,56,48,55,50,43,48
100005,In-house-Eng,26,21.00 to 30.99 years,Male,High school graduate (including GED),White,west,2,1,2,2,3,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,1,1,1,2,1,2,1,2,2,2,1,1,2,1,2,1,2,3,3,1,2,1,1,1,1,2,2,2,1,2,2,3,2,1,2,2,2,2,2,2,2,3,107,19,18,22,17,15,18,17,20,55,53,56,57,51,45,62,53,58
100014,In-house-Eng,30,21.00 to 30.99 years,Female,Some college or associate degree,Hispanic,west,1,1,1,1,3,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,3,2,1,1,4,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1,77,13,13,14,14,14,11,11,14,39,37,44,41,43,43,42,36,46
119107,SM,26,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,1,2,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,3,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,87,14,13,16,15,16,12,15,10,45,40,44,46,45,48,46,49,33
141007,SM,22,21.00 to 30.99 years,Male,Some college or associate degree,White,south,2,2,2,2,3,1,2,2,2,1,1,2,4,2,2,2,2,2,2,2,2,4,2,2,2,2,3,2,3,2,2,3,1,3,2,2,3,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,117,19,21,24,21,17,15,19,24,59,53,62,60,59,50,55,57,64
141009,SM,37,31.00 to 40.99 years,Male,Some college or associate degree,White,south,2,2,2,1,3,2,2,1,2,2,2,2,3,2,2,1,1,2,3,3,2,3,2,2,2,1,1,2,2,2,2,3,2,3,3,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,3,1,1,1,2,3,3,2,4,3,3,2,2,2,3,2,2,2,2,1,1,114,19,21,19,19,16,16,23,19,57,53,62,52,55,48,58,63,57
141010,SM,24,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,2,1,2,2,3,1,2,1,1,2,2,1,4,1,1,2,1,1,3,2,2,2,4,3,3,1,3,1,2,3,2,3,2,4,2,2,2,1,1,1,3,2,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,3,4,1,1,2,2,1,1,2,1,1,1,109,17,18,24,20,17,12,18,13,55,48,56,60,57,50,46,55,43
141011,SM,23,21.00 to 30.99 years,Female,Some college or associate degree,White,south,1,1,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,4,2,2,3,1,2,2,3,2,2,2,2,4,1,2,4,2,2,1,3,2,1,2,2,3,3,3,2,1,2,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2,3,1,2,2,2,1,1,1,1,1,115,16,17,22,22,22,16,16,15,58,46,54,57,61,60,58,51,48
141012,SM,22,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,3,2,3,1,2,2,2,1,2,3,2,3,3,2,2,2,2,2,3,3,2,2,2,3,2,2,3,2,3,4,2,3,2,3,2,1,1,1,1,1,2,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,3,1,2,3,3,1,2,2,1,3,2,2,3,2,2,2,2,2,3,2,3,2,3,2,128,21,24,25,17,20,21,21,23,63,57,66,62,51,57,66,60,63
141014,SM,38,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,1,2,1,1,2,1,1,1,3,2,3,1,2,1,2,1,1,2,3,3,2,1,1,2,2,2,4,3,1,4,1,2,2,3,1,1,1,1,1,1,2,4,1,2,1,4,4,2,4,2,2,3,2,1,3,4,4,3,1,3,1,1,1,4,1,2,1,1,3,2,1,1,2,3,2,3,4,1,3,2,124,15,19,22,14,26,26,17,22,61,43,58,57,43,67,71,53,61
141015,SM,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,2,2,3,3,2,2,1,1,2,1,2,2,1,1,2,1,1,2,2,3,2,1,2,1,2,3,3,3,4,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,2,1,2,1,2,2,92,19,15,24,15,14,13,11,18,48,53,50,60,45,43,50,36,55
141024,SM,25,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,1,1,2,2,2,2,2,3,1,1,1,1,2,1,1,2,1,1,2,2,2,3,2,2,3,1,3,2,3,2,1,3,2,2,2,1,1,1,1,1,1,2,1,2,2,2,3,2,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,4,4,3,1,4,2,2,2,3,1,2,3,101,17,14,23,15,17,14,18,23,52,48,47,59,45,50,53,55,63
141025,SM,22,21.00 to 30.99 years,Male,Some college or associate degree,Asian,south,1,2,2,3,2,2,3,1,2,1,2,2,2,2,2,3,2,3,3,2,3,3,2,3,3,3,4,3,4,3,3,2,4,4,3,2,1,1,4,2,1,4,1,2,2,4,1,2,4,3,3,2,1,2,2,3,2,3,3,3,1,1,1,2,2,3,1,3,4,3,3,2,4,3,2,2,1,2,1,1,149,19,23,31,26,24,24,21,21,69,53,65,70,67,64,70,60,60
