IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0031,q0033,q0034,q0036,q0037,q0039,q0040,q0041,q0042,q0043,q0045,q0046,q0047,q0048,q0050,q0053,q0055,q0056,q0057,q0058,q0060,q0061,q0063,q0064,q0065,q0066,q0069,q0071,q0072,q0073,q0074,q0075,q0076,q0079,q0080,q0081,q0084,q0086,q0087,q0088,q0090,q0091,q0092,q0094,q0095,q0096,q0097,q0099,q0100,q0103,q0105,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0129,q0131,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
141008,Eng,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,MultiRacial,south,1,3,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,67,19,11,11,12,11,10,12,12,39,56,42,39,43,39,39,49,45
141009,Eng,37,31.00 to 40.99 years,Male,Some college or associate degree,White,south,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,3,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,3,2,1,2,1,1,2,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,90,18,14,16,12,18,17,13,11,55,54,53,55,43,58,64,52,41
141012,Eng,22,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,1,1,4,3,3,1,4,1,3,2,4,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,3,1,1,1,1,1,4,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,94,23,23,17,15,11,17,11,14,57,63,68,57,54,39,64,44,51
141011,Eng,23,21.00 to 30.99 years,Female,Some college or associate degree,White,south,2,3,1,2,2,3,3,3,2,1,3,3,1,2,2,2,2,2,3,3,2,3,3,3,2,3,2,4,3,3,2,2,3,1,3,2,1,2,3,2,3,4,2,4,3,2,3,2,3,3,2,3,2,3,2,3,3,1,2,2,2,2,3,2,3,2,2,2,1,2,2,3,3,3,3,2,2,3,2,2,145,22,23,28,21,29,23,21,25,72,62,68,69,65,70,73,69,68
141017,Eng,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,2,4,1,2,3,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,4,3,2,2,2,1,1,1,2,2,2,3,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,3,2,2,2,2,1,1,1,1,2,1,110,21,17,20,20,20,15,18,15,63,60,60,61,64,61,59,65,54
141010,Eng,24,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,1,2,1,1,1,1,2,3,2,1,3,2,2,2,2,3,2,1,1,2,2,1,2,3,2,1,1,3,2,3,2,1,2,1,2,1,1,1,1,2,2,3,2,3,2,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,97,15,20,20,14,20,11,12,18,58,47,65,61,51,61,44,49,60
141015,Eng,39,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,3,2,1,1,3,2,2,2,1,1,2,1,1,1,1,1,2,3,2,1,2,1,2,2,1,2,3,3,3,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,3,2,1,1,2,1,1,4,2,83,18,15,20,14,11,12,11,19,51,54,55,61,51,39,49,44,61
141022,Eng,38,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,2,3,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,3,2,2,3,2,2,3,2,3,2,2,3,3,1,2,2,1,2,2,2,2,3,2,2,2,1,2,2,1,2,3,2,1,2,1,2,1,2,2,1,1,2,3,2,3,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,115,21,16,24,20,19,17,19,18,65,60,58,66,64,60,64,66,60
141023,Eng,23,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,76,12,10,16,12,17,11,10,12,47,38,37,55,43,56,44,39,45
141019,Eng,24,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,2,3,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,3,4,2,1,1,1,2,2,1,2,2,2,2,3,3,3,1,2,1,1,2,4,3,2,1,1,1,2,1,2,1,2,2,3,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,1,2,1,2,3,1,99,18,18,16,23,15,15,12,16,59,54,62,55,68,52,59,49,56
141025,Eng,22,21.00 to 30.99 years,Male,Some college or associate degree,Asian,south,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,95,19,15,19,16,14,14,17,18,57,56,55,60,56,49,56,63,60
141014,Eng,38,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,2,2,1,2,1,2,2,1,2,1,3,2,2,1,1,2,2,2,2,3,2,2,2,1,1,2,2,2,2,3,2,2,3,1,2,1,1,1,2,2,2,2,2,3,3,2,2,1,2,2,2,2,1,3,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,3,2,104,16,20,19,17,21,15,12,17,61,50,65,60,58,62,59,49,58
141033,Eng,41,41.00 to 50.99 years,Female,Bachelor's degree or higher,White,south,2,3,1,2,2,3,3,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,73,22,11,12,14,13,12,11,14,44,62,42,43,51,47,49,44,51
141007,Eng,22,21.00 to 30.99 years,Male,Some college or associate degree,White,south,2,3,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,79,19,13,15,13,14,12,12,15,49,56,50,52,47,49,49,49,54
141031,Eng,42,41.00 to 50.99 years,Male,Some college or associate degree,White,south,2,3,3,2,1,2,2,2,1,2,3,3,2,3,2,3,2,3,1,4,2,1,2,3,2,1,1,3,3,2,1,3,2,1,2,2,2,1,3,1,2,4,1,3,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,3,4,1,1,2,2,3,4,106,20,26,20,18,16,14,12,23,62,58,71,61,60,54,56,49,66
141030,Eng,41,41.00 to 50.99 years,Female,Some college or associate degree,White,south,2,2,2,2,3,2,3,3,3,3,1,1,2,2,1,2,1,1,1,1,1,3,1,1,1,2,2,2,3,3,3,1,3,1,2,1,1,2,4,2,2,2,3,1,2,4,3,3,4,4,3,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,3,3,2,2,2,1,2,1,2,1,2,1,2,114,25,13,19,20,28,16,18,16,64,66,50,60,64,69,61,65,56
143001,Eng,34,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,northeast,1,3,1,2,3,3,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,78,19,12,18,13,12,12,11,10,48,56,46,58,47,43,49,44,36
141062,Eng,65,65.00 to 99.99 years,Female,Bachelor's degree or higher,MultiRacial,south,1,3,2,1,1,2,1,2,1,2,4,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,3,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,4,98,16,20,20,14,16,10,18,19,58,50,65,61,51,54,39,65,61
141061,Eng,65,65.00 to 99.99 years,Male,Bachelor's degree or higher,White,south,2,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,4,2,1,1,1,2,1,1,1,1,2,2,3,1,3,2,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,87,16,14,17,13,17,14,12,15,53,50,53,57,47,56,56,49,54
141024,Eng,25,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,1,3,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,66,18,11,11,11,10,10,13,13,38,54,42,39,39,35,39,52,48
143006,Eng,40,31.00 to 40.99 years,Male,High school graduate (including GED),White,northeast,1,3,1,2,3,3,4,3,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,68,25,10,12,13,11,12,10,16,40,66,37,43,47,39,49,39,56
141029,Eng,34,31.00 to 40.99 years,Female,Some college or associate degree,Hispanic,south,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,3,2,2,1,1,4,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,3,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,3,2,2,2,2,2,2,1,2,2,98,11,17,19,16,19,14,13,20,58,35,60,60,56,60,56,52,63
141028,Eng,34,31.00 to 40.99 years,Male,Bachelor's degree or higher,MultiRacial,south,1,2,1,1,1,1,3,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,3,70,13,14,11,13,11,11,10,15,42,42,53,39,47,39,44,39,54
141114,Eng,37,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,3,2,2,2,2,2,3,3,3,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,92,14,16,24,15,13,13,11,11,56,45,58,66,54,47,53,44,41
141027,Eng,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,2,2,1,1,2,2,1,2,1,1,2,3,3,2,2,3,2,4,2,3,4,2,3,4,2,1,2,2,2,4,3,1,2,1,2,1,1,2,4,2,3,3,2,3,4,3,2,1,1,2,2,2,1,2,1,2,3,1,1,1,1,1,2,1,1,1,2,1,2,1,2,3,4,3,2,4,1,4,2,2,124,15,26,26,19,24,16,13,27,67,47,71,68,62,66,61,52,69
141116,Eng,32,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72,11,13,14,13,12,10,10,10,44,35,50,50,47,43,39,39,36
141112,Eng,30,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,1,3,1,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,67,17,10,11,13,12,10,11,12,39,52,37,39,47,43,39,44,45
143002,Eng,34,31.00 to 40.99 years,Male,High school graduate (including GED),White,northeast,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,1,3,1,1,1,3,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,86,13,13,13,14,15,17,14,12,53,42,50,47,51,52,64,56,45
141118,Eng,40,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,1,3,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,3,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,85,17,13,15,17,16,12,12,15,52,52,50,52,58,54,49,49,54
141122,Eng,32,31.00 to 40.99 years,Male,High school graduate (including GED),White,south,2,4,1,2,2,1,3,3,4,2,3,2,1,1,2,3,3,2,1,2,1,3,2,1,1,2,2,1,4,3,3,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,94,24,20,20,17,10,16,11,14,57,65,65,61,58,35,61,44,51
141032,Eng,45,41.00 to 50.99 years,Male,Some college or associate degree,White,south,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,10,10,10,10,10,10,10,10,32,31,37,34,33,35,39,39,36
141113,Eng,35,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,1,2,1,3,1,2,1,2,1,1,1,2,3,3,3,3,3,2,3,3,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,1,1,2,1,2,2,2,1,2,2,1,2,1,1,1,3,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,4,3,3,2,2,1,2,3,2,107,15,26,19,18,15,15,14,23,62,47,71,60,60,52,59,56,66
141111,Eng,30,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,south,2,3,2,2,2,2,2,1,3,2,2,2,2,2,1,2,1,1,3,1,3,3,3,2,2,2,1,2,2,2,3,1,2,1,2,1,2,1,2,2,3,3,2,2,1,1,2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,3,2,2,1,2,3,2,101,21,17,22,17,18,14,13,21,60,60,60,64,58,58,56,52,64
143007,Eng,36,31.00 to 40.99 years,Female,Some college or associate degree,White,northeast,2,3,2,3,1,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,1,2,1,3,2,2,3,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,104,23,22,21,20,17,12,12,19,61,63,67,63,64,56,49,49,61
141110,Eng,34,31.00 to 40.99 years,Male,Bachelor's degree or higher,White,south,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,67,15,10,12,13,11,10,11,11,39,47,37,43,47,39,39,44,41
141109,Eng,34,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,south,3,3,2,2,2,3,1,3,3,2,2,1,1,1,2,1,1,2,3,3,2,3,3,3,1,2,1,3,1,3,4,1,2,1,2,1,1,1,2,3,2,3,2,3,2,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,3,2,101,24,17,22,18,22,10,12,15,60,65,60,64,60,64,39,49,54
