T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,112--240,36--40,23--40,21--40,18--40,17--40,21--40,19--40,25--40
74,-,33--35,22,20,-,-,20,-,-
73,106--111,32,-,-,17,16,-,-,24
72,105,31,21,-,-,-,-,18,23
71,103--104,30,-,19,-,-,19,-,-
70,101--102,29,20,-,-,-,-,-,22
69,99--100,28,-,18,16,15,18,17,-
68,97--98,27,19,-,-,-,-,-,21
67,95--96,-,-,-,-,-,-,-,-
66,94,26,-,17,15,-,17,16,20
65,92--93,25,18,-,-,14,-,-,19
64,91,24,-,-,-,-,16,-,-
63,89--90,23,17,16,-,-,-,15,18
62,87--88,-,-,-,14,-,-,-,-
61,86,22,-,-,-,-,15,-,-
60,84--85,21,16,15,-,13,-,-,17
59,83,-,-,-,-,-,-,14,-
58,82,20,-,-,13,-,-,-,16
57,80--81,19,15,14,-,-,14,-,-
56,79,-,-,-,-,-,-,-,15
55,77--78,18,-,-,-,12,-,13,-
54,76,-,14,13,-,-,13,-,-
53,75,17,-,-,12,-,-,-,14
52,73--74,16,-,-,-,-,-,-,-
51,72,-,13,-,-,-,-,12,13
50,71,15,-,12,-,11,12,-,-
49,70,-,-,-,-,-,-,-,-
48,69,-,-,-,11,-,-,-,12
47,67--68,14,12,-,-,-,11,11,-
46,66,-,-,11,-,-,-,-,-
45,65,13,-,-,-,10,-,-,-
44,64,-,11,-,-,-,-,-,11
43,63,12,-,-,10,-,-,-,-
42,62,-,-,-,-,-,10,10,-
41,61,-,-,10,-,-,-,-,10
40,60,11,-,-,-,-,-,-,-
39,-,-,10,-,-,-,-,-,-
38,-,-,-,-,-,-,-,-,-
37,-,10,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
