form,scale,n,correct_r,mean_t1,sd_t1,mean_t2,sd_t2,ES,SEM,CV_90,CV_95
Teen 1221 Home,SOC,114,0.89,47.19,8.79,46.54,8.96,0.05,2.9,4.77,5.68
,VIS,114,0.85,48.4,7.35,48.63,7.09,0.02,2.87,4.72,5.62
,HEA,114,0.82,48.93,7.78,48.79,7.87,0.01,3.33,5.48,6.53
,TOU,114,0.87,49.75,8.36,49.63,7.71,0.01,3.05,5.02,5.98
,TS,114,0.84,49.52,9.11,49.53,8.46,0,3.63,5.97,7.11
,BOD,114,0.87,48.96,7.48,48.61,7.83,0.03,2.69,4.42,5.27
,BAL,114,0.75,49.03,6.81,49.04,6.73,0,3.39,5.58,6.65
,PLA,114,0.8,49.31,8.12,48.6,8.28,0.06,3.64,5.98,7.13
,TOT,114,0.92,48.93,7.72,48.73,7.7,0.02,2.22,3.66,4.36
Teen 1221 School,SOC,87,0.89,47.26,9.66,45.67,9.42,0.11,3.24,5.33,6.35
,VIS,87,0.88,50.34,7.15,49.21,6.63,0.11,2.43,4,4.77
,HEA,87,0.88,50.68,7.92,49.7,6.99,0.09,2.72,4.48,5.34
,TOU,87,0.82,50.06,6.71,50.26,6.65,0.02,2.82,4.63,5.52
,TS,87,0.87,49.83,7.48,49.01,7,0.07,2.65,4.36,5.19
,BOD,87,0.87,49.46,6.06,48.45,5.41,0.12,2.22,3.65,4.35
,BAL,87,0.78,50.3,6.63,49.86,6.28,0.04,3.12,5.13,6.12
,PLA,87,0.85,49.3,7.85,47.37,7.35,0.17,2.99,4.92,5.86
,TOT,87,0.94,49.31,8.89,48.34,8.4,0.07,2.14,3.51,4.19
Teen 1221 Self,SOC,104,0.8,47.21,9.31,47.1,9.72,0.01,4.21,6.93,8.26
,VIS,104,0.86,48.68,8.58,48.4,9.17,0.02,3.21,5.28,6.29
,HEA,104,0.87,50.02,9.41,49.38,9.58,0.05,3.42,5.63,6.71
,TOU,104,0.87,49.2,8.85,48.34,9.78,0.06,3.14,5.17,6.16
,TS,104,0.82,47.63,9.44,46.82,9.43,0.06,4.02,6.62,7.88
,BOD,104,0.85,48.19,8.06,47.04,9.53,0.09,3.08,5.07,6.04
,BAL,104,0.82,48.69,7.68,48.16,8.4,0.04,3.24,5.33,6.35
,PLA,104,0.88,48.96,8.52,47.23,8.73,0.13,2.99,4.91,5.85
,TOT,104,0.93,48.14,9,47.43,9.92,0.05,2.4,3.95,4.71
