n,scale,SOC_raw_alt2,VIS_raw_alt2,HEA_raw_alt2,TOU_raw_alt2,TS_raw_alt2,BOD_raw_alt2,BAL_raw_alt2,PLA_raw_alt2,TOT_raw_alt2
77,SOC_raw_alt1,0.413,0.216,0.256,0.306,-0.082,0.281,0.422,0.239,0.285
,VIS_raw_alt1,-0.102,0.647,0.692,0.756,0.406,0.791,0.715,0.441,0.835
,HEA_raw_alt1,-0.058,0.51,0.742,0.655,0.634,0.721,0.653,0.424,0.812
,TOU_raw_alt1,-0.161,0.284,0.575,0.782,0.665,0.749,0.657,0.207,0.752
,TS_raw_alt1,-0.135,0.149,0.456,0.466,0.884,0.55,0.435,0.246,0.596
,BOD_raw_alt1,-0.286,0.433,0.607,0.738,0.471,0.872,0.715,0.31,0.788
,BAL_raw_alt1,-0.157,0.598,0.515,0.68,0.365,0.739,0.744,0.539,0.754
,PLA_raw_alt1,0.068,0.414,0.409,0.45,0.184,0.518,0.503,0.777,0.516
,TOT_raw_alt1,-0.177,0.528,0.71,0.802,0.655,0.874,0.775,0.432,0.894
