form,n,SPM2_row_label,ABAS3_col_label,r,p
Teen-1221-Home-School-Self-Stand,144,SOC,Cm,-0.504,0
,,VIS,Cm,-0.312,0
,,HEA,Cm,-0.279,0.001
,,TOU,Cm,-0.226,0.006
,,TS,Cm,-0.278,0.001
,,BOD,Cm,-0.327,0
,,BAL,Cm,-0.251,0.002
,,PLA,Cm,-0.352,0
,,TOT,Cm,-0.362,0
,,SOC,Fn,-0.313,0
,,VIS,Fn,-0.345,0
,,HEA,Fn,-0.294,0
,,TOU,Fn,-0.206,0.013
,,TS,Fn,-0.188,0.023
,,BOD,Fn,-0.321,0
,,BAL,Fn,-0.306,0
,,PLA,Fn,-0.365,0
,,TOT,Fn,-0.327,0
,,SOC,Hl,-0.296,0
,,VIS,Hl,-0.268,0.001
,,HEA,Hl,-0.274,0.001
,,TOU,Hl,-0.21,0.011
,,TS,Hl,-0.306,0
,,BOD,Hl,-0.248,0.003
,,BAL,Hl,-0.276,0.001
,,PLA,Hl,-0.262,0.001
,,TOT,Hl,-0.324,0
,,SOC,Ls,-0.533,0
,,VIS,Ls,-0.251,0.002
,,HEA,Ls,-0.311,0
,,TOU,Ls,-0.175,0.036
,,TS,Ls,-0.261,0.002
,,BOD,Ls,-0.274,0.001
,,BAL,Ls,-0.186,0.025
,,PLA,Ls,-0.313,0
,,TOT,Ls,-0.315,0
,,SOC,SC,-0.226,0.006
,,VIS,SC,-0.217,0.009
,,HEA,SC,-0.261,0.001
,,TOU,SC,-0.22,0.008
,,TS,SC,-0.26,0.002
,,BOD,SC,-0.277,0.001
,,BAL,SC,-0.287,0
,,PLA,SC,-0.292,0
,,TOT,SC,-0.296,0
,,SOC,SD,-0.452,0
,,VIS,SD,-0.338,0
,,HEA,SD,-0.301,0
,,TOU,SD,-0.223,0.007
,,TS,SD,-0.123,0.142
,,BOD,SD,-0.335,0
,,BAL,SD,-0.145,0.083
,,PLA,SD,-0.392,0
,,TOT,SD,-0.279,0.001
,,SOC,Scl,-0.552,0
,,VIS,Scl,-0.302,0
,,HEA,Scl,-0.297,0
,,TOU,Scl,-0.17,0.041
,,TS,Scl,-0.135,0.105
,,BOD,Scl,-0.294,0
,,BAL,Scl,-0.108,0.195
,,PLA,Scl,-0.337,0
,,TOT,Scl,-0.298,0
,,SOC,Wr,0.014,0.865
,,VIS,Wr,0.023,0.787
,,HEA,Wr,0.058,0.492
,,TOU,Wr,0.163,0.051
,,TS,Wr,-0.05,0.549
,,BOD,Wr,0.089,0.285
,,BAL,Wr,-0.03,0.72
,,PLA,Wr,0.143,0.086
,,TOT,Wr,0.102,0.221
,,SOC,GAC,-0.458,0
,,VIS,GAC,-0.306,0
,,HEA,GAC,-0.28,0.001
,,TOU,GAC,-0.241,0.003
,,TS,GAC,-0.206,0.013
,,BOD,GAC,-0.33,0
,,BAL,GAC,-0.2,0.016
,,PLA,GAC,-0.357,0
,,TOT,GAC,-0.34,0
,,SOC,Cn,-0.431,0
,,VIS,Cn,-0.287,0
,,HEA,Cn,-0.234,0.005
,,TOU,Cn,-0.211,0.011
,,TS,Cn,-0.134,0.109
,,BOD,Cn,-0.317,0
,,BAL,Cn,-0.167,0.045
,,PLA,Cn,-0.336,0
,,TOT,Cn,-0.283,0.001
,,SOC,Scs,-0.529,0
,,VIS,Scs,-0.227,0.006
,,HEA,Scs,-0.233,0.005
,,TOU,Scs,-0.169,0.042
,,TS,Scs,-0.154,0.065
,,BOD,Scs,-0.273,0.001
,,BAL,Scs,-0.109,0.194
,,PLA,Scs,-0.271,0.001
,,TOT,Scs,-0.267,0.001
,,SOC,Pr,-0.351,0
,,VIS,Pr,-0.307,0
,,HEA,Pr,-0.282,0.001
,,TOU,Pr,-0.254,0.002
,,TS,Pr,-0.267,0.001
,,BOD,Pr,-0.326,0
,,BAL,Pr,-0.217,0.009
,,PLA,Pr,-0.338,0
,,TOT,Pr,-0.362,0
Teen-1221-Home-School-Clin,189,SOC,Cm,-0.565,0
,,VIS,Cm,-0.554,0
,,HEA,Cm,-0.462,0
,,TOU,Cm,-0.558,0
,,TS,Cm,-0.31,0
,,BOD,Cm,-0.564,0
,,BAL,Cm,-0.423,0
,,PLA,Cm,-0.583,0
,,TOT,Cm,-0.573,0
,,SOC,Fn,-0.418,0
,,VIS,Fn,-0.494,0
,,HEA,Fn,-0.293,0
,,TOU,Fn,-0.464,0
,,TS,Fn,-0.127,0.081
,,BOD,Fn,-0.487,0
,,BAL,Fn,-0.308,0
,,PLA,Fn,-0.525,0
,,TOT,Fn,-0.431,0
,,SOC,Hl,-0.501,0
,,VIS,Hl,-0.488,0
,,HEA,Hl,-0.417,0
,,TOU,Hl,-0.598,0
,,TS,Hl,-0.289,0
,,BOD,Hl,-0.574,0
,,BAL,Hl,-0.437,0
,,PLA,Hl,-0.498,0
,,TOT,Hl,-0.54,0
,,SOC,Ls,-0.595,0
,,VIS,Ls,-0.473,0
,,HEA,Ls,-0.342,0
,,TOU,Ls,-0.553,0
,,TS,Ls,-0.197,0.007
,,BOD,Ls,-0.532,0
,,BAL,Ls,-0.327,0
,,PLA,Ls,-0.532,0
,,TOT,Ls,-0.478,0
,,SOC,SC,-0.453,0
,,VIS,SC,-0.396,0
,,HEA,SC,-0.306,0
,,TOU,SC,-0.5,0
,,TS,SC,-0.255,0
,,BOD,SC,-0.464,0
,,BAL,SC,-0.405,0
,,PLA,SC,-0.437,0
,,TOT,SC,-0.436,0
,,SOC,SD,-0.545,0
,,VIS,SD,-0.506,0
,,HEA,SD,-0.46,0
,,TOU,SD,-0.577,0
,,TS,SD,-0.307,0
,,BOD,SD,-0.531,0
,,BAL,SD,-0.358,0
,,PLA,SD,-0.526,0
,,TOT,SD,-0.546,0
,,SOC,Scl,-0.644,0
,,VIS,Scl,-0.568,0
,,HEA,Scl,-0.513,0
,,TOU,Scl,-0.581,0
,,TS,Scl,-0.326,0
,,BOD,Scl,-0.596,0
,,BAL,Scl,-0.371,0
,,PLA,Scl,-0.531,0
,,TOT,Scl,-0.599,0
,,SOC,Wr,0.093,0.204
,,VIS,Wr,-0.114,0.118
,,HEA,Wr,0.177,0.015
,,TOU,Wr,0.12,0.1
,,TS,Wr,0.186,0.01
,,BOD,Wr,0.08,0.271
,,BAL,Wr,0.091,0.212
,,PLA,Wr,-0.087,0.233
,,TOT,Wr,0.075,0.305
,,SOC,GAC,-0.607,0
,,VIS,GAC,-0.567,0
,,HEA,GAC,-0.451,0
,,TOU,GAC,-0.617,0
,,TS,GAC,-0.292,0
,,BOD,GAC,-0.608,0
,,BAL,GAC,-0.441,0
,,PLA,GAC,-0.606,0
,,TOT,GAC,-0.586,0
,,SOC,Cn,-0.577,0
,,VIS,Cn,-0.587,0
,,HEA,Cn,-0.448,0
,,TOU,Cn,-0.598,0
,,TS,Cn,-0.277,0
,,BOD,Cn,-0.585,0
,,BAL,Cn,-0.412,0
,,PLA,Cn,-0.616,0
,,TOT,Cn,-0.577,0
,,SOC,Scs,-0.652,0
,,VIS,Scs,-0.553,0
,,HEA,Scs,-0.44,0
,,TOU,Scs,-0.595,0
,,TS,Scs,-0.271,0
,,BOD,Scs,-0.568,0
,,BAL,Scs,-0.37,0
,,PLA,Scs,-0.549,0
,,TOT,Scs,-0.556,0
,,SOC,Pr,-0.549,0
,,VIS,Pr,-0.515,0
,,HEA,Pr,-0.407,0
,,TOU,Pr,-0.583,0
,,TS,Pr,-0.286,0
,,BOD,Pr,-0.589,0
,,BAL,Pr,-0.461,0
,,PLA,Pr,-0.553,0
,,TOT,Pr,-0.55,0
