form,scale,n,r,p
Preschool-25-Home-Stand,SOC,25,0.679,0
,VIS,,0.687,0
,HEA,,0.811,0
,TOU,,0.823,0
,BOD,,0.42,0.037
,BAL,,0.808,0
,PLA,,0.797,0
,TOT,,0.854,0
Preschool-25-Home-Clin,SOC,64,0.866,0
,VIS,,0.798,0
,HEA,,0.799,0
,TOU,,0.744,0
,BOD,,0.839,0
,BAL,,0.846,0
,PLA,,0.863,0
,TOT,,0.945,0
Preschool-25-School-Stand,SOC,32,0.577,0.001
,VIS,,0.727,0
,HEA,,0.791,0
,TOU,,0.425,0.015
,BOD,,0.712,0
,BAL,,0.615,0
,PLA,,0.585,0
,TOT,,0.889,0
Preschool-25-School-Clin,SOC,73,0.881,0
,VIS,,0.811,0
,HEA,,0.786,0
,TOU,,0.498,0
,BOD,,0.744,0
,BAL,,0.853,0
,PLA,,0.841,0
,TOT,,0.909,0
