form,n,SPM2_row_label,SP2_col_label,r,p
Child-512-Home-Stand,17,SOC,Ad,0.159,0.543
,,VIS,Ad,0.734,0.001
,,HEA,Ad,0.59,0.013
,,TOU,Ad,0.661,0.004
,,TS,Ad,0.563,0.019
,,BOD,Ad,0.639,0.006
,,BAL,Ad,0.714,0.001
,,PLA,Ad,0.479,0.052
,,TOT,Ad,0.718,0.001
,,SOC,Vs,0.31,0.226
,,VIS,Vs,0.635,0.006
,,HEA,Vs,0.559,0.02
,,TOU,Vs,0.685,0.002
,,TS,Vs,0.788,0
,,BOD,Vs,0.664,0.004
,,BAL,Vs,0.763,0
,,PLA,Vs,0.573,0.016
,,TOT,Vs,0.749,0.001
,,SOC,Tc,0.238,0.359
,,VIS,Tc,0.84,0
,,HEA,Tc,0.768,0
,,TOU,Tc,0.78,0
,,TS,Tc,0.46,0.063
,,BOD,Tc,0.787,0
,,BAL,Tc,0.783,0
,,PLA,Tc,0.456,0.066
,,TOT,Tc,0.818,0
,,SOC,Mv,0.163,0.533
,,VIS,Mv,0.901,0
,,HEA,Mv,0.815,0
,,TOU,Mv,0.877,0
,,TS,Mv,0.655,0.004
,,BOD,Mv,0.898,0
,,BAL,Mv,0.922,0
,,PLA,Mv,0.574,0.016
,,TOT,Mv,0.938,0
,,SOC,BP,-0.146,0.576
,,VIS,BP,0.655,0.004
,,HEA,BP,0.599,0.011
,,TOU,BP,0.711,0.001
,,TS,BP,0.639,0.006
,,BOD,BP,0.694,0.002
,,BAL,BP,0.928,0
,,PLA,BP,0.394,0.118
,,TOT,BP,0.781,0
,,SOC,Or,-0.107,0.683
,,VIS,Or,0.489,0.046
,,HEA,Or,0.466,0.06
,,TOU,Or,0.724,0.001
,,TS,Or,0.788,0
,,BOD,Or,0.664,0.004
,,BAL,Or,0.735,0.001
,,PLA,Or,0.315,0.218
,,TOT,Or,0.713,0.001
,,SOC,Cn,0.202,0.438
,,VIS,Cn,0.893,0
,,HEA,Cn,0.771,0
,,TOU,Cn,0.867,0
,,TS,Cn,0.665,0.004
,,BOD,Cn,0.883,0
,,BAL,Cn,0.867,0
,,PLA,Cn,0.571,0.017
,,TOT,Cn,0.916,0
,,SOC,SE,-0.086,0.741
,,VIS,SE,0.686,0.002
,,HEA,SE,0.742,0.001
,,TOU,SE,0.755,0
,,TS,SE,0.603,0.01
,,BOD,SE,0.752,0.001
,,BAL,SE,0.852,0
,,PLA,SE,0.424,0.089
,,TOT,SE,0.807,0
,,SOC,At,0.241,0.351
,,VIS,At,0.831,0
,,HEA,At,0.718,0.001
,,TOU,At,0.801,0
,,TS,At,0.709,0.001
,,BOD,At,0.787,0
,,BAL,At,0.837,0
,,PLA,At,0.623,0.008
,,TOT,At,0.861,0
,,SOC,SkS,0.151,0.564
,,VIS,SkS,0.835,0
,,HEA,SkS,0.723,0.001
,,TOU,SkS,0.895,0
,,TS,SkS,0.73,0.001
,,BOD,SkS,0.882,0
,,BAL,SkS,0.881,0
,,PLA,SkS,0.494,0.044
,,TOT,SkS,0.917,0
,,SOC,AA,-0.031,0.907
,,VIS,AA,0.75,0.001
,,HEA,AA,0.751,0.001
,,TOU,AA,0.776,0
,,TS,AA,0.567,0.018
,,BOD,AA,0.803,0
,,BAL,AA,0.861,0
,,PLA,AA,0.402,0.11
,,TOT,AA,0.834,0
,,SOC,SnS,0.087,0.74
,,VIS,SnS,0.78,0
,,HEA,SnS,0.7,0.002
,,TOU,SnS,0.821,0
,,TS,SnS,0.794,0
,,BOD,SnS,0.773,0
,,BAL,SnS,0.903,0
,,PLA,SnS,0.582,0.014
,,TOT,SnS,0.875,0
,,SOC,RB,0.097,0.711
,,VIS,RB,0.835,0
,,HEA,RB,0.749,0.001
,,TOU,RB,0.838,0
,,TS,RB,0.713,0.001
,,BOD,RB,0.81,0
,,BAL,RB,0.925,0
,,PLA,RB,0.591,0.013
,,TOT,RB,0.896,0
Child-512-Home-Clin,162,SOC,Ad,0.391,0
,,VIS,Ad,0.477,0
,,HEA,Ad,0.567,0
,,TOU,Ad,0.34,0
,,TS,Ad,0.301,0
,,BOD,Ad,0.344,0
,,BAL,Ad,0.381,0
,,PLA,Ad,0.304,0
,,TOT,Ad,0.522,0
,,SOC,Vs,0.371,0
,,VIS,Vs,0.547,0
,,HEA,Vs,0.418,0
,,TOU,Vs,0.373,0
,,TS,Vs,0.282,0
,,BOD,Vs,0.322,0
,,BAL,Vs,0.292,0
,,PLA,Vs,0.192,0.014
,,TOT,Vs,0.482,0
,,SOC,Tc,0.516,0
,,VIS,Tc,0.499,0
,,HEA,Tc,0.439,0
,,TOU,Tc,0.54,0
,,TS,Tc,0.464,0
,,BOD,Tc,0.619,0
,,BAL,Tc,0.433,0
,,PLA,Tc,0.258,0.001
,,TOT,Tc,0.645,0
,,SOC,Mv,0.47,0
,,VIS,Mv,0.414,0
,,HEA,Mv,0.374,0
,,TOU,Mv,0.305,0
,,TS,Mv,0.399,0
,,BOD,Mv,0.671,0
,,BAL,Mv,0.398,0
,,PLA,Mv,0.108,0.171
,,TOT,Mv,0.552,0
,,SOC,BP,0.313,0
,,VIS,BP,0.498,0
,,HEA,BP,0.298,0
,,TOU,BP,0.405,0
,,TS,BP,0.386,0
,,BOD,BP,0.451,0
,,BAL,BP,0.631,0
,,PLA,BP,0.297,0
,,TOT,BP,0.568,0
,,SOC,Or,0.334,0
,,VIS,Or,0.323,0
,,HEA,Or,0.315,0
,,TOU,Or,0.366,0
,,TS,Or,0.754,0
,,BOD,Or,0.367,0
,,BAL,Or,0.41,0
,,PLA,Or,0.159,0.043
,,TOT,Or,0.541,0
,,SOC,Cn,0.461,0
,,VIS,Cn,0.413,0
,,HEA,Cn,0.209,0.008
,,TOU,Cn,0.326,0
,,TS,Cn,0.301,0
,,BOD,Cn,0.611,0
,,BAL,Cn,0.341,0
,,PLA,Cn,0.208,0.008
,,TOT,Cn,0.472,0
,,SOC,SE,0.408,0
,,VIS,SE,0.511,0
,,HEA,SE,0.381,0
,,TOU,SE,0.431,0
,,TS,SE,0.374,0
,,BOD,SE,0.288,0
,,BAL,SE,0.419,0
,,PLA,SE,0.271,0
,,TOT,SE,0.515,0
,,SOC,At,0.436,0
,,VIS,At,0.536,0
,,HEA,At,0.307,0
,,TOU,At,0.335,0
,,TS,At,0.261,0.001
,,BOD,At,0.519,0
,,BAL,At,0.401,0
,,PLA,At,0.351,0
,,TOT,At,0.507,0
,,SOC,SkS,0.487,0
,,VIS,SkS,0.405,0
,,HEA,SkS,0.333,0
,,TOU,SkS,0.326,0
,,TS,SkS,0.465,0
,,BOD,SkS,0.693,0
,,BAL,SkS,0.356,0
,,PLA,SkS,0.115,0.145
,,TOT,SkS,0.555,0
,,SOC,AA,0.487,0
,,VIS,AA,0.577,0
,,HEA,AA,0.496,0
,,TOU,AA,0.464,0
,,TS,AA,0.43,0
,,BOD,AA,0.347,0
,,BAL,AA,0.444,0
,,PLA,AA,0.309,0
,,TOT,AA,0.593,0
,,SOC,SnS,0.542,0
,,VIS,SnS,0.662,0
,,HEA,SnS,0.524,0
,,TOU,SnS,0.575,0
,,TS,SnS,0.626,0
,,BOD,SnS,0.504,0
,,BAL,SnS,0.567,0
,,PLA,SnS,0.389,0
,,TOT,SnS,0.741,0
,,SOC,RB,0.488,0
,,VIS,RB,0.618,0
,,HEA,RB,0.378,0
,,TOU,RB,0.489,0
,,TS,RB,0.423,0
,,BOD,RB,0.665,0
,,BAL,RB,0.649,0
,,PLA,RB,0.375,0
,,TOT,RB,0.689,0
Child-512-School-Stand,17,SOC,Ad,0.313,0.221
,,VIS,Ad,0.368,0.146
,,HEA,Ad,0.432,0.084
,,TOU,Ad,0.375,0.138
,,TS,Ad,0.458,0.064
,,BOD,Ad,0.157,0.549
,,BAL,Ad,0.1,0.702
,,PLA,Ad,0.195,0.452
,,TOT,Ad,0.353,0.165
,,SOC,Vs,0.557,0.02
,,VIS,Vs,0.598,0.011
,,HEA,Vs,0.641,0.006
,,TOU,Vs,0.729,0.001
,,TS,Vs,0.338,0.185
,,BOD,Vs,0.356,0.161
,,BAL,Vs,0.626,0.007
,,PLA,Vs,0.739,0.001
,,TOT,Vs,0.62,0.008
