form,scale,n,mean,sd
Home Form,SOC_raw,520,19.52,5.49
,VIS_raw,520,15.93,4.72
,HEA_raw,520,15.52,5.08
,TOU_raw,520,14.48,4.27
,TS_raw,520,14.07,3.99
,BOD_raw,520,15.85,4.96
,BAL_raw,520,13,3.44
,PLA_raw,520,15.19,4.63
,TOT_raw,520,88.84,21.91
School Form,SOC_raw,539,18.58,5.94
,VIS_raw,539,13.69,3.86
,HEA_raw,539,13.74,4.09
,TOU_raw,539,12.86,3.6
,TS_raw,539,11.86,3.13
,BOD_raw,539,12.94,4.03
,BAL_raw,539,12.22,3.24
,PLA_raw,539,14.61,4.7
,TOT_raw,539,77.31,19.02
