form,scale,alpha_2199,alpha_2130,alpha_3140,alpha_4150,alpha_5164,alpha_6599,SEM_2199,CV_90,CV_95
Self Form,SOC,0.75,0.75,0.73,0.73,0.76,0.82,5.01,8.25,9.83
,VIS,0.81,0.78,0.75,0.87,0.84,0.82,4.35,7.15,8.52
,HEA,0.84,0.82,0.84,0.85,0.87,0.86,3.97,6.52,7.77
,TOU,0.78,0.74,0.75,0.8,0.83,0.77,4.73,7.78,9.27
,TS,0.78,0.78,0.71,0.8,0.8,0.79,4.69,7.72,9.2
,BOD,0.86,0.81,0.84,0.9,0.86,0.89,3.74,6.15,7.32
,BAL,0.82,0.82,0.75,0.85,0.86,0.84,4.24,6.98,8.32
,PLA,0.86,0.86,0.84,0.86,0.85,0.87,3.79,6.24,7.44
,TOT,0.95,0.94,0.93,0.96,0.95,0.95,2.28,3.75,4.47
Rater Form,SOC,0.82,0.82,0.8,0.81,0.84,0.89,4.05,6.66,7.93
,VIS,0.86,0.83,0.82,0.9,0.88,0.91,3.41,5.61,6.68
,HEA,0.85,0.84,0.83,0.86,0.88,0.88,3.69,6.07,7.23
,TOU,0.8,0.76,0.62,0.83,0.88,0.85,4.25,6.99,8.32
,TS,0.87,0.86,0.84,0.89,0.87,0.89,3.44,5.66,6.74
,BOD,0.86,0.83,0.74,0.89,0.9,0.9,3.36,5.53,6.59
,BAL,0.86,0.78,0.66,0.89,0.9,0.89,3.44,5.66,6.74
,PLA,0.87,0.86,0.84,0.86,0.9,0.9,3.36,5.53,6.59
,TOT,0.96,0.94,0.92,0.97,0.98,0.97,1.98,3.25,3.87
