form,scale,n,correct_r,mean_t1,sd_t1,mean_t2,sd_t2,ES,SEM,CV_90,CV_95
IT 1030 Home,SOC,91,0.87,49.97,8.82,49.4,9.12,0.04,3.19,5.25,6.26
,VIS,91,0.78,49.38,8.7,47.4,8.73,0.15,4.11,6.75,8.05
,HEA,91,0.81,49.08,9.21,47.68,8.68,0.1,3.98,6.55,7.8
,TOU,91,0.79,49.03,8.5,49.59,8.97,0.04,3.86,6.35,7.57
,TS,91,0.79,48.85,8.86,49.25,8.59,0.03,4.01,6.6,7.86
,BOD,91,0.85,49.99,7.94,49.11,8.67,0.07,3.1,5.11,6.08
,BAL,91,0.78,50.42,9.43,50.34,9.88,0.01,4.42,7.28,8.67
,PLA,91,0.7,50.41,8.95,50.44,8.87,0,4.94,8.13,9.68
,TOT,91,0.91,49.26,8.38,48.42,8.95,0.07,2.5,4.11,4.9
