form,scale,n,r,p
IT-49-Home,SOC,6,0.773,0.072
,VIS,,0.557,0.251
,HEA,,-0.013,0.98
,TOU,,0.6,0.208
,TS,,0.707,0.116
,BOD,,-0.618,0.191
,BAL,,0.916,0.01
,PLA,,0.279,0.592
,TOT,,0.826,0.043
IT-1030-Home,SOC,15,0.289,0.297
,VIS,,0.754,0.001
,HEA,,0.882,0
,TOU,,0.818,0
,TS,,0.713,0.003
,BOD,,0.605,0.017
,BAL,,0.837,0
,PLA,,0.41,0.129
,TOT,,0.939,0
Preschool-25-School,SOC,11,0.664,0.026
,VIS,,0.394,0.23
,HEA,,0.547,0.082
,TOU,,0.555,0.076
,TS,,0.55,0.079
,BOD,,0.775,0.005
,BAL,,0.698,0.017
,PLA,,0.44,0.176
,TOT,,0.815,0.002
Child-512-School,SOC,19,0.718,0.001
,VIS,,0.582,0.009
,HEA,,0.67,0.002
,TOU,,0.604,0.006
,TS,,0.43,0.066
,BOD,,0.668,0.002
,BAL,,0.139,0.57
,PLA,,0.647,0.003
,TOT,,0.832,0
Teen-1221-School,SOC,17,0.608,0.01
,VIS,,0.687,0.002
,HEA,,0.541,0.025
,TOU,,1,0
,TS,,,
,BOD,,0.681,0.003
,BAL,,0.644,0.005
,PLA,,0.237,0.359
,TOT,,0.883,0
Adult-Other,SOC,25,0.463,0.02
,VIS,,0.643,0.001
,HEA,,0.709,0
,TOU,,0.668,0
,TS,,0.464,0.019
,BOD,,0.489,0.013
,BAL,,0.618,0.001
,PLA,,0.609,0.001
,TOT,,0.782,0
