form,n,SPM2_row_label,SP2_col_label,r,p
IT-430-Home-Stand,22,SOC,Gn,0.172,0.443
,,VIS,Gn,0.134,0.552
,,HEA,Gn,0.589,0.004
,,TOU,Gn,0.302,0.172
,,TS,Gn,0.348,0.113
,,BOD,Gn,0.547,0.008
,,BAL,Gn,0.374,0.086
,,PLA,Gn,0.367,0.093
,,TOT,Gn,0.609,0.003
,,SOC,Ad,0.192,0.392
,,VIS,Ad,0.281,0.205
,,HEA,Ad,0.484,0.023
,,TOU,Ad,0.282,0.203
,,TS,Ad,0.228,0.308
,,BOD,Ad,0.524,0.012
,,BAL,Ad,0.271,0.222
,,PLA,Ad,0.447,0.037
,,TOT,Ad,0.582,0.004
,,SOC,Vs,0.197,0.38
,,VIS,Vs,-0.471,0.027
,,HEA,Vs,0.36,0.1
,,TOU,Vs,0.298,0.178
,,TS,Vs,0.705,0
,,BOD,Vs,0.193,0.389
,,BAL,Vs,0.267,0.23
,,PLA,Vs,-0.398,0.067
,,TOT,Vs,0.241,0.28
,,SOC,Tc,0.037,0.87
,,VIS,Tc,-0.419,0.052
,,HEA,Tc,0.232,0.3
,,TOU,Tc,0.219,0.328
,,TS,Tc,0.573,0.005
,,BOD,Tc,0.206,0.359
,,BAL,Tc,0.317,0.151
,,PLA,Tc,-0.276,0.213
,,TOT,Tc,0.191,0.395
,,SOC,Mv,0.104,0.647
,,VIS,Mv,-0.539,0.01
,,HEA,Mv,0.244,0.274
,,TOU,Mv,0.365,0.095
,,TS,Mv,0.518,0.014
,,BOD,Mv,0.191,0.396
,,BAL,Mv,0.117,0.604
,,PLA,Mv,-0.45,0.036
,,TOT,Mv,0.109,0.628
,,SOC,OS,0.17,0.449
,,VIS,OS,-0.554,0.007
,,HEA,OS,0.358,0.102
,,TOU,OS,0.548,0.008
,,TS,OS,0.761,0
,,BOD,OS,0.523,0.012
,,BAL,OS,0.426,0.048
,,PLA,OS,-0.38,0.081
,,TOT,OS,0.39,0.073
IT-430-Home-Clin,46,SOC,Gn,0.527,0
,,VIS,Gn,0.471,0.001
,,HEA,Gn,0.444,0.002
,,TOU,Gn,0.401,0.006
,,TS,Gn,0.519,0
,,BOD,Gn,0.369,0.012
,,BAL,Gn,0.605,0
,,PLA,Gn,0.448,0.002
,,TOT,Gn,0.627,0
,,SOC,Ad,0.554,0
,,VIS,Ad,0.664,0
,,HEA,Ad,0.695,0
,,TOU,Ad,0.523,0
,,TS,Ad,0.413,0.004
,,BOD,Ad,0.39,0.007
,,BAL,Ad,0.632,0
,,PLA,Ad,0.523,0
,,TOT,Ad,0.739,0
,,SOC,Vs,0.42,0.004
,,VIS,Vs,0.284,0.056
,,HEA,Vs,0.327,0.026
,,TOU,Vs,0.276,0.063
,,TS,Vs,0.112,0.459
,,BOD,Vs,0.254,0.089
,,BAL,Vs,0.371,0.011
,,PLA,Vs,0.211,0.159
,,TOT,Vs,0.361,0.014
,,SOC,Tc,0.401,0.006
,,VIS,Tc,0.456,0.001
,,HEA,Tc,0.476,0.001
,,TOU,Tc,0.477,0.001
,,TS,Tc,0.563,0
,,BOD,Tc,0.291,0.05
,,BAL,Tc,0.622,0
,,PLA,Tc,0.44,0.002
,,TOT,Tc,0.641,0
,,SOC,Mv,0.247,0.097
,,VIS,Mv,-0.016,0.917
,,HEA,Mv,0.186,0.215
,,TOU,Mv,0.17,0.259
,,TS,Mv,0.252,0.091
,,BOD,Mv,0.252,0.092
,,BAL,Mv,0.276,0.063
,,PLA,Mv,-0.049,0.744
,,TOT,Mv,0.248,0.097
,,SOC,OS,0.545,0
,,VIS,OS,0.363,0.013
,,HEA,OS,0.424,0.003
,,TOU,OS,0.403,0.006
,,TS,OS,0.583,0
,,BOD,OS,0.368,0.012
,,BAL,OS,0.58,0
,,PLA,OS,0.522,0
,,TOT,OS,0.606,0
