form,n_512,n_58,n_912,scale,alpha_512,alpha_58,alpha_912,SEM_512,CV_90,CV_95
Home Form,875,475,400,SOC,0.91,0.91,0.9,2.9,4.78,5.69
,,,,VIS,0.8,0.79,0.81,4.1,6.75,8.04
,,,,HEA,0.86,0.86,0.87,3.34,5.49,6.54
,,,,TOU,0.74,0.71,0.78,4.74,7.8,9.29
,,,,TS,0.81,0.8,0.81,4.18,6.88,8.2
,,,,BOD,0.85,0.84,0.86,3.57,5.88,7
,,,,BAL,0.79,0.75,0.83,4.04,6.65,7.92
,,,,PLA,0.87,0.84,0.9,3.27,5.37,6.4
,,,,TOT,0.95,0.94,0.95,2.27,3.74,4.46
School Form,555,331,224,SOC,0.92,0.91,0.93,2.84,4.68,5.58
,,,,VIS,0.85,0.84,0.86,3.69,6.06,7.23
,,,,HEA,0.84,0.8,0.87,3.68,6.05,7.2
,,,,TOU,0.82,0.75,0.86,3.66,6.02,7.17
,,,,TS,0.85,0.8,0.88,3.09,5.08,6.06
,,,,BOD,0.88,0.85,0.9,3.27,5.37,6.4
,,,,BAL,0.83,0.8,0.86,3.66,6.01,7.17
,,,,PLA,0.9,0.9,0.9,3.11,5.12,6.1
,,,,TOT,0.96,0.95,0.97,1.75,2.89,3.44
