form,scale,alpha_1221,alpha_1213,alpha_1415,alpha_1617,alpha_1821,SEM_1221,CV_90,CV_95
Home Form,SOC,0.8,0.78,0.81,0.8,0.82,4.34,7.14,8.5
,VIS,0.88,0.84,0.9,0.86,0.91,3.13,5.14,6.13
,HEA,0.88,0.87,0.89,0.88,0.9,3.22,5.3,6.31
,TOU,0.86,0.85,0.86,0.85,0.89,3.44,5.66,6.74
,TS,0.87,0.87,0.88,0.86,0.88,3.3,5.44,6.48
,BOD,0.89,0.89,0.89,0.86,0.92,3.02,4.96,5.91
,BAL,0.9,0.88,0.92,0.88,0.92,2.66,4.38,5.22
,PLA,0.91,0.91,0.92,0.9,0.93,2.76,4.54,5.41
,TOT,0.97,0.96,0.97,0.97,0.98,1.7,2.79,3.33
School Form,SOC,0.88,0.89,0.88,0.88,0.9,3.29,5.41,6.45
,VIS,0.92,0.9,0.93,0.9,0.95,2.28,3.75,4.47
,HEA,0.91,0.9,0.93,0.9,0.91,2.41,3.96,4.71
,TOU,0.91,0.9,0.93,0.9,0.92,2.22,3.66,4.36
,TS,0.92,0.92,0.93,0.92,0.94,2.2,3.62,4.32
,BOD,0.92,0.92,0.93,0.93,0.93,2.06,3.39,4.04
,BAL,0.93,0.9,0.93,0.94,0.93,2.05,3.37,4.02
,PLA,0.92,0.92,0.92,0.91,0.93,2.51,4.13,4.92
,TOT,0.98,0.98,0.99,0.98,0.99,1.18,1.94,2.32
Self Form,SOC,0.71,0.67,0.75,0.68,0.74,5.29,8.69,10.36
,VIS,0.84,0.83,0.86,0.83,0.84,3.82,6.28,7.48
,HEA,0.84,0.83,0.86,0.82,0.83,3.89,6.4,7.63
,TOU,0.77,0.78,0.79,0.7,0.83,4.56,7.5,8.93
,TS,0.84,0.83,0.83,0.83,0.88,3.86,6.35,7.57
,BOD,0.85,0.83,0.87,0.84,0.85,3.69,6.07,7.23
,BAL,0.84,0.82,0.87,0.83,0.87,3.6,5.92,7.06
,PLA,0.85,0.87,0.85,0.83,0.86,3.64,5.99,7.14
,TOT,0.96,0.95,0.96,0.95,0.96,2.03,3.34,3.98
