form,scale,n_typ,mean_typ,sd_typ,n_clin,mean_clin,sd_clin,ES
Home,SOC,218,49.5,10.14,218,57.76,10.2,0.54
,VIS,218,49.96,9.43,218,60.04,9.86,0.7
,HEA,218,50.76,9.38,218,58.89,9.78,0.57
,TOU,218,50.94,9.47,218,59.81,10.14,0.61
,TS,218,50.44,9.31,218,55.76,10.58,0.36
,BOD,218,50.61,9.17,218,59.44,9.86,0.63
,BAL,218,50.46,8.89,218,61.44,9.76,0.8
,PLA,218,50.89,9.65,218,62.97,9.89,0.83
,TOT,218,50.36,10.09,218,61.35,9.51,0.74
School,SOC,192,49,10.21,192,58.43,10.91,0.6
,VIS,192,50.8,10.24,192,62.94,11.18,0.77
,HEA,192,51.58,10.2,192,65.45,10.2,0.91
,TOU,192,50.54,9.4,192,62.51,11.58,0.79
,TS,192,49.57,8.6,192,56.58,11.86,0.48
,BOD,192,51.82,9.97,192,58.24,12.18,0.4
,BAL,192,51.83,10.14,192,62.16,11.69,0.65
,PLA,192,50.59,10.02,192,65.44,11.1,0.95
,TOT,192,51.35,9.82,192,63.83,10.84,0.82
