form,n,SPM2_row_label,SP2_col_label,r,p
Teen-1221-Home-Stand,12,SOC,Ad,-0.089,0.782
,,VIS,Ad,0.342,0.276
,,HEA,Ad,0.379,0.224
,,TOU,Ad,-0.045,0.889
,,TS,Ad,-0.3,0.344
,,BOD,Ad,0.278,0.382
,,BAL,Ad,-0.275,0.387
,,PLA,Ad,-0.228,0.476
,,TOT,Ad,0.084,0.796
,,SOC,Vs,0.291,0.358
,,VIS,Vs,0.555,0.061
,,HEA,Vs,0.657,0.02
,,TOU,Vs,0.067,0.837
,,TS,Vs,-0.103,0.749
,,BOD,Vs,0.321,0.31
,,BAL,Vs,0.316,0.317
,,PLA,Vs,0.117,0.716
,,TOT,Vs,0.438,0.154
,,SOC,Tc,0.187,0.56
,,VIS,Tc,0.531,0.076
,,HEA,Tc,0.596,0.041
,,TOU,Tc,0.151,0.64
,,TS,Tc,-0.341,0.278
,,BOD,Tc,0.784,0.003
,,BAL,Tc,-0.298,0.347
,,PLA,Tc,-0.222,0.488
,,TOT,Tc,0.356,0.256
,,SOC,Mv,-0.066,0.84
,,VIS,Mv,0.152,0.637
,,HEA,Mv,0.22,0.492
,,TOU,Mv,-0.076,0.814
,,TS,Mv,-0.354,0.259
,,BOD,Mv,0.579,0.048
,,BAL,Mv,-0.447,0.146
,,PLA,Mv,-0.501,0.097
,,TOT,Mv,0.014,0.966
,,SOC,BP,0.175,0.587
,,VIS,BP,0.474,0.12
,,HEA,BP,0.552,0.063
,,TOU,BP,0.217,0.498
,,TS,BP,-0.168,0.602
,,BOD,BP,0.794,0.002
,,BAL,BP,-0.293,0.355
,,PLA,BP,-0.187,0.562
,,TOT,BP,0.424,0.17
,,SOC,Or,-0.397,0.201
,,VIS,Or,0.096,0.767
,,HEA,Or,-0.304,0.337
,,TOU,Or,0.689,0.013
,,TS,Or,0.841,0.001
,,BOD,Or,-0.088,0.786
,,BAL,Or,0.183,0.57
,,PLA,Or,0.109,0.737
,,TOT,Or,0.477,0.117
,,SOC,Cn,0.092,0.776
,,VIS,Cn,0.296,0.351
,,HEA,Cn,0.29,0.36
,,TOU,Cn,0.134,0.678
,,TS,Cn,-0.36,0.251
,,BOD,Cn,0.523,0.081
,,BAL,Cn,-0.028,0.931
,,PLA,Cn,-0.224,0.484
,,TOT,Cn,0.171,0.595
,,SOC,SE,0.137,0.671
,,VIS,SE,0.344,0.274
,,HEA,SE,-0.076,0.815
,,TOU,SE,0.458,0.134
,,TS,SE,0.096,0.766
,,BOD,SE,-0.09,0.781
,,BAL,SE,0.046,0.887
,,PLA,SE,0.532,0.075
,,TOT,SE,0.202,0.528
,,SOC,At,-0.003,0.994
,,VIS,At,0.327,0.3
,,HEA,At,0.407,0.189
,,TOU,At,0.046,0.886
,,TS,At,-0.236,0.46
,,BOD,At,0.387,0.214
,,BAL,At,-0.214,0.505
,,PLA,At,-0.23,0.471
,,TOT,At,0.176,0.584
,,SOC,SkS,-0.111,0.731
,,VIS,SkS,0.399,0.199
,,HEA,SkS,0.325,0.303
,,TOU,SkS,0.352,0.262
,,TS,SkS,0.09,0.782
,,BOD,SkS,0.636,0.026
,,BAL,SkS,-0.193,0.547
,,PLA,SkS,-0.346,0.271
,,TOT,SkS,0.459,0.134
,,SOC,AA,0.202,0.529
,,VIS,AA,0.573,0.051
,,HEA,AA,0.274,0.388
,,TOU,AA,0.42,0.174
,,TS,AA,-0.046,0.887
,,BOD,AA,0.28,0.378
,,BAL,AA,-0.071,0.826
,,PLA,AA,0.364,0.244
,,TOT,AA,0.37,0.236
,,SOC,SnS,-0.256,0.423
,,VIS,SnS,0.296,0.35
,,HEA,SnS,0.119,0.712
,,TOU,SnS,0.352,0.262
,,TS,SnS,0.212,0.509
,,BOD,SnS,0.125,0.7
,,BAL,SnS,-0.064,0.843
,,PLA,SnS,-0.083,0.798
,,TOT,SnS,0.309,0.328
,,SOC,RB,0.006,0.985
,,VIS,RB,0.457,0.135
,,HEA,RB,0.45,0.142
,,TOU,RB,0.137,0.67
,,TS,RB,-0.357,0.255
,,BOD,RB,0.53,0.076
,,BAL,RB,-0.266,0.404
,,PLA,RB,-0.254,0.426
,,TOT,RB,0.222,0.488
Teen-1221-Home-Clin,50,SOC,Ad,0.446,0.001
,,VIS,Ad,0.542,0
,,HEA,Ad,0.616,0
,,TOU,Ad,0.496,0
,,TS,Ad,0.152,0.292
,,BOD,Ad,0.571,0
,,BAL,Ad,0.305,0.032
,,PLA,Ad,0.525,0
,,TOT,Ad,0.566,0
,,SOC,Vs,0.246,0.085
,,VIS,Vs,0.534,0
,,HEA,Vs,0.401,0.004
,,TOU,Vs,0.349,0.013
,,TS,Vs,0.12,0.408
,,BOD,Vs,0.363,0.01
,,BAL,Vs,0.166,0.249
,,PLA,Vs,0.214,0.136
,,TOT,Vs,0.407,0.003
,,SOC,Tc,0.578,0
,,VIS,Tc,0.577,0
,,HEA,Tc,0.361,0.01
,,TOU,Tc,0.632,0
,,TS,Tc,0.248,0.083
,,BOD,Tc,0.652,0
,,BAL,Tc,0.284,0.045
,,PLA,Tc,0.416,0.003
,,TOT,Tc,0.579,0
,,SOC,Mv,0.498,0
,,VIS,Mv,0.609,0
,,HEA,Mv,0.452,0.001
,,TOU,Mv,0.494,0
,,TS,Mv,0.144,0.318
,,BOD,Mv,0.589,0
,,BAL,Mv,0.264,0.064
,,PLA,Mv,0.384,0.006
,,TOT,Mv,0.539,0
,,SOC,BP,0.575,0
,,VIS,BP,0.53,0
,,HEA,BP,0.605,0
,,TOU,BP,0.728,0
,,TS,BP,0.454,0.001
,,BOD,BP,0.654,0
,,BAL,BP,0.657,0
,,PLA,BP,0.598,0
,,TOT,BP,0.758,0
,,SOC,Or,0.399,0.004
,,VIS,Or,0.343,0.015
,,HEA,Or,0.116,0.422
,,TOU,Or,0.357,0.011
,,TS,Or,0.617,0
,,BOD,Or,0.307,0.03
,,BAL,Or,0.217,0.13
,,PLA,Or,0.284,0.045
,,TOT,Or,0.399,0.004
,,SOC,Cn,0.425,0.002
,,VIS,Cn,0.61,0
,,HEA,Cn,0.464,0.001
,,TOU,Cn,0.456,0.001
,,TS,Cn,0.134,0.353
,,BOD,Cn,0.594,0
,,BAL,Cn,0.175,0.225
,,PLA,Cn,0.453,0.001
,,TOT,Cn,0.514,0
,,SOC,SE,0.468,0.001
,,VIS,SE,0.5,0
,,HEA,SE,0.458,0.001
,,TOU,SE,0.476,0
,,TS,SE,0.26,0.068
,,BOD,SE,0.456,0.001
,,BAL,SE,0.235,0.101
,,PLA,SE,0.451,0.001
,,TOT,SE,0.5,0
,,SOC,At,0.543,0
,,VIS,At,0.719,0
,,HEA,At,0.576,0
,,TOU,At,0.552,0
,,TS,At,0.2,0.164
,,BOD,At,0.63,0
,,BAL,At,0.286,0.044
,,PLA,At,0.513,0
,,TOT,At,0.624,0
,,SOC,SkS,0.543,0
,,VIS,SkS,0.682,0
,,HEA,SkS,0.458,0.001
,,TOU,SkS,0.556,0
,,TS,SkS,0.202,0.159
,,BOD,SkS,0.638,0
,,BAL,SkS,0.17,0.237
,,PLA,SkS,0.395,0.005
,,TOT,SkS,0.57,0
,,SOC,AA,0.511,0
,,VIS,AA,0.558,0
,,HEA,AA,0.56,0
,,TOU,AA,0.514,0
,,TS,AA,0.29,0.041
,,BOD,AA,0.548,0
,,BAL,AA,0.3,0.034
,,PLA,AA,0.504,0
,,TOT,AA,0.581,0
,,SOC,SnS,0.555,0
,,VIS,SnS,0.61,0
,,HEA,SnS,0.489,0
,,TOU,SnS,0.539,0
,,TS,SnS,0.409,0.003
,,BOD,SnS,0.573,0
,,BAL,SnS,0.338,0.016
,,PLA,SnS,0.514,0
,,TOT,SnS,0.618,0
,,SOC,RB,0.586,0
,,VIS,RB,0.668,0
,,HEA,RB,0.544,0
,,TOU,RB,0.705,0
,,TS,RB,0.338,0.017
,,BOD,RB,0.715,0
,,BAL,RB,0.487,0
,,PLA,RB,0.593,0
,,TOT,RB,0.725,0
Teen-1221-School-Stand,13,SOC,Ad,0.418,0.155
,,VIS,Ad,0.257,0.398
,,HEA,Ad,0.639,0.019
