form,n,SPM2_row_label,SP2_col_label,r,p
,,PLA,SE,0.453,0
,,TOT,SE,0.538,0
,,SOC,At,0.566,0
,,VIS,At,0.617,0
,,HEA,At,0.45,0
,,TOU,At,0.472,0
,,TS,At,0.067,0.54
,,BOD,At,0.537,0
,,BAL,At,0.534,0
,,PLA,At,0.681,0
,,TOT,At,0.624,0
,,SOC,SkS,0.65,0
,,VIS,SkS,0.469,0
,,HEA,SkS,0.401,0
,,TOU,SkS,0.59,0
,,TS,SkS,0.347,0.001
,,BOD,SkS,0.632,0
,,BAL,SkS,0.353,0.001
,,PLA,SkS,0.434,0
,,TOT,SkS,0.644,0
,,SOC,AA,0.654,0
,,VIS,AA,0.462,0
,,HEA,AA,0.503,0
,,TOU,AA,0.519,0
,,TS,AA,0.336,0.002
,,BOD,AA,0.487,0
,,BAL,AA,0.423,0
,,PLA,AA,0.469,0
,,TOT,AA,0.623,0
,,SOC,SnS,0.562,0
,,VIS,SnS,0.475,0
,,HEA,SnS,0.539,0
,,TOU,SnS,0.534,0
,,TS,SnS,0.512,0
,,BOD,SnS,0.41,0
,,BAL,SnS,0.461,0
,,PLA,SnS,0.512,0
,,TOT,SnS,0.656,0
,,SOC,RB,0.562,0
,,VIS,RB,0.595,0
,,HEA,RB,0.49,0
,,TOU,RB,0.509,0
,,TS,RB,0.202,0.063
,,BOD,RB,0.51,0
,,BAL,RB,0.634,0
,,PLA,RB,0.657,0
,,TOT,RB,0.675,0
Preschool-25-School-Stand,24,SOC,Ad,-0.129,0.548
,,VIS,Ad,0.323,0.123
,,HEA,Ad,0.589,0.002
,,TOU,Ad,0.547,0.006
,,TS,Ad,0.317,0.132
,,BOD,Ad,0.148,0.49
,,BAL,Ad,0.151,0.482
,,PLA,Ad,0.419,0.042
,,TOT,Ad,0.377,0.07
,,SOC,Vs,-0.264,0.213
,,VIS,Vs,0.623,0.001
,,HEA,Vs,0.48,0.018
,,TOU,Vs,0.245,0.249
,,TS,Vs,0.464,0.022
,,BOD,Vs,0.331,0.115
,,BAL,Vs,0.227,0.287
,,PLA,Vs,0.441,0.031
,,TOT,Vs,0.472,0.02
,,SOC,Tc,-0.185,0.386
,,VIS,Tc,0.773,0
,,HEA,Tc,0.653,0.001
,,TOU,Tc,0.568,0.004
,,TS,Tc,0.685,0
,,BOD,Tc,0.59,0.002
,,BAL,Tc,0.351,0.092
,,PLA,Tc,0.303,0.15
,,TOT,Tc,0.717,0
,,SOC,Mv,-0.049,0.821
,,VIS,Mv,0.598,0.002
,,HEA,Mv,0.654,0.001
,,TOU,Mv,0.424,0.039
,,TS,Mv,0.457,0.025
,,BOD,Mv,0.431,0.036
,,BAL,Mv,0.235,0.268
,,PLA,Mv,0.495,0.014
,,TOT,Mv,0.542,0.006
,,SOC,Bh,-0.068,0.752
,,VIS,Bh,0.471,0.02
,,HEA,Bh,0.386,0.063
,,TOU,Bh,0.084,0.697
,,TS,Bh,0.263,0.214
,,BOD,Bh,0.14,0.513
,,BAL,Bh,0.114,0.597
,,PLA,Bh,0.399,0.053
,,TOT,Bh,0.287,0.174
,,SOC,SkS,-0.25,0.239
,,VIS,SkS,0.641,0.001
,,HEA,SkS,0.509,0.011
,,TOU,SkS,0.4,0.053
,,TS,SkS,0.589,0.002
,,BOD,SkS,0.517,0.01
,,BAL,SkS,0.252,0.235
,,PLA,SkS,0.26,0.219
,,TOT,SkS,0.58,0.003
,,SOC,AA,-0.016,0.939
,,VIS,AA,0.547,0.006
,,HEA,AA,0.474,0.019
,,TOU,AA,0.245,0.249
,,TS,AA,0.367,0.078
,,BOD,AA,0.193,0.365
,,BAL,AA,0.201,0.347
,,PLA,AA,0.464,0.022
,,TOT,AA,0.397,0.055
,,SOC,SnS,-0.141,0.513
,,VIS,SnS,0.489,0.015
,,HEA,SnS,0.565,0.004
,,TOU,SnS,0.384,0.064
,,TS,SnS,0.322,0.125
,,BOD,SnS,0.169,0.43
,,BAL,SnS,0.071,0.742
,,PLA,SnS,0.42,0.041
,,TOT,SnS,0.373,0.073
,,SOC,RB,-0.077,0.722
,,VIS,RB,0.547,0.006
,,HEA,RB,0.592,0.002
,,TOU,RB,0.3,0.154
,,TS,RB,0.363,0.081
,,BOD,RB,0.318,0.13
,,BAL,RB,0.271,0.201
,,PLA,RB,0.548,0.006
,,TOT,RB,0.465,0.022
,,SOC,SF1,0.136,0.525
,,VIS,SF1,0.048,0.825
,,HEA,SF1,0.406,0.049
,,TOU,SF1,0.002,0.994
,,TS,SF1,-0.215,0.312
,,BOD,SF1,-0.111,0.604
,,BAL,SF1,-0.157,0.463
,,PLA,SF1,0.517,0.01
,,TOT,SF1,-0.042,0.846
,,SOC,SF2,-0.293,0.165
,,VIS,SF2,0.561,0.004
,,HEA,SF2,0.471,0.02
,,TOU,SF2,0.365,0.08
,,TS,SF2,0.473,0.019
,,BOD,SF2,0.296,0.16
,,BAL,SF2,0.13,0.545
,,PLA,SF2,0.261,0.219
,,TOT,SF2,0.448,0.028
,,SOC,SF3,-0.135,0.531
,,VIS,SF3,0.538,0.007
,,HEA,SF3,0.489,0.015
,,TOU,SF3,0.281,0.184
,,TS,SF3,0.392,0.058
,,BOD,SF3,0.211,0.323
,,BAL,SF3,0.152,0.477
,,PLA,SF3,0.408,0.048
,,TOT,SF3,0.4,0.053
,,SOC,SF4,0.001,0.995
,,VIS,SF4,0.325,0.121
,,HEA,SF4,0.402,0.051
,,TOU,SF4,0.179,0.402
,,TS,SF4,0.183,0.392
,,BOD,SF4,0.075,0.729
,,BAL,SF4,0.173,0.419
,,PLA,SF4,0.475,0.019
,,TOT,SF4,0.253,0.233
Preschool-25-School-Clin,79,SOC,Ad,0.601,0
,,VIS,Ad,0.534,0
,,HEA,Ad,0.723,0
,,TOU,Ad,0.47,0
,,TS,Ad,0.48,0
,,BOD,Ad,0.468,0
,,BAL,Ad,0.513,0
,,PLA,Ad,0.617,0
,,TOT,Ad,0.679,0
,,SOC,Vs,0.499,0
,,VIS,Vs,0.492,0
,,HEA,Vs,0.547,0
,,TOU,Vs,0.388,0
,,TS,Vs,0.223,0.048
,,BOD,Vs,0.51,0
,,BAL,Vs,0.537,0
,,PLA,Vs,0.578,0
,,TOT,Vs,0.59,0
,,SOC,Tc,0.481,0
,,VIS,Tc,0.597,0
,,HEA,Tc,0.677,0
,,TOU,Tc,0.671,0
,,TS,Tc,0.326,0.003
,,BOD,Tc,0.547,0
,,BAL,Tc,0.51,0
,,PLA,Tc,0.451,0
,,TOT,Tc,0.714,0
,,SOC,Mv,0.616,0
,,VIS,Mv,0.631,0
,,HEA,Mv,0.681,0
,,TOU,Mv,0.553,0
,,TS,Mv,0.221,0.05
,,BOD,Mv,0.616,0
,,BAL,Mv,0.605,0
,,PLA,Mv,0.56,0
,,TOT,Mv,0.723,0
,,SOC,Bh,0.727,0
,,VIS,Bh,0.46,0
,,HEA,Bh,0.65,0
,,TOU,Bh,0.539,0
,,TS,Bh,0.417,0
,,BOD,Bh,0.564,0
,,BAL,Bh,0.503,0
,,PLA,Bh,0.479,0
,,TOT,Bh,0.672,0
,,SOC,SkS,0.465,0
,,VIS,SkS,0.477,0
,,HEA,SkS,0.544,0
,,TOU,SkS,0.501,0
,,TS,SkS,0.186,0.1
,,BOD,SkS,0.657,0
,,BAL,SkS,0.441,0
,,PLA,SkS,0.374,0.001
,,TOT,SkS,0.621,0
,,SOC,AA,0.692,0
,,VIS,AA,0.517,0
,,HEA,AA,0.716,0
,,TOU,AA,0.493,0
,,TS,AA,0.464,0
,,BOD,AA,0.434,0
,,BAL,AA,0.557,0
,,PLA,AA,0.571,0
,,TOT,AA,0.675,0
,,SOC,SnS,0.562,0
,,VIS,SnS,0.425,0
,,HEA,SnS,0.61,0
,,TOU,SnS,0.517,0
,,TS,SnS,0.401,0
,,BOD,SnS,0.542,0
,,BAL,SnS,0.426,0
,,PLA,SnS,0.379,0.001
,,TOT,SnS,0.627,0
,,SOC,RB,0.667,0
,,VIS,RB,0.675,0
,,HEA,RB,0.737,0
,,TOU,RB,0.555,0
,,TS,RB,0.27,0.016
,,BOD,RB,0.546,0
,,BAL,RB,0.672,0
,,PLA,RB,0.737,0
,,TOT,RB,0.749,0
,,SOC,SF1,0.678,0
,,VIS,SF1,0.64,0
,,HEA,SF1,0.742,0
,,TOU,SF1,0.562,0
,,TS,SF1,0.22,0.052
,,BOD,SF1,0.642,0
,,BAL,SF1,0.586,0
,,PLA,SF1,0.616,0
,,TOT,SF1,0.743,0
,,SOC,SF2,0.363,0.001
,,VIS,SF2,0.331,0.003
,,HEA,SF2,0.425,0
,,TOU,SF2,0.45,0
,,TS,SF2,0.285,0.011
,,BOD,SF2,0.533,0
,,BAL,SF2,0.361,0.001
,,PLA,SF2,0.274,0.015
,,TOT,SF2,0.518,0
,,SOC,SF3,0.686,0
,,VIS,SF3,0.525,0
,,HEA,SF3,0.723,0
,,TOU,SF3,0.569,0
,,TS,SF3,0.484,0
,,BOD,SF3,0.57,0
,,BAL,SF3,0.542,0
,,PLA,SF3,0.531,0
,,TOT,SF3,0.729,0
,,SOC,SF4,0.579,0
,,VIS,SF4,0.539,0
,,HEA,SF4,0.602,0
,,TOU,SF4,0.362,0.001
,,TS,SF4,0.31,0.005
,,BOD,SF4,0.249,0.027
,,BAL,SF4,0.583,0
,,PLA,SF4,0.655,0
,,TOT,SF4,0.56,0
