form,scale,n_Stand,mean_Stand,sd_Stand,form1,n_Clin,mean_Clin,sd_Clin,ES
Home Form Stand,SOC_raw,1014,17.44,4.87,Home Form Clin,105,21.06,5.4,0.48
,VIS_raw,1014,13.23,4.05,,105,17.35,5.22,0.62
,HEA_raw,1014,13.16,4.17,,105,17.35,5.06,0.63
,TOU_raw,1014,12.86,3.97,,105,16.32,5.33,0.52
,TS_raw,1014,14.64,4.53,,105,16.52,5.2,0.26
,BOD_raw,1014,12.96,4.12,,105,16.64,6.01,0.52
,BAL_raw,1014,12.08,3.82,,105,14.49,5.84,0.36
,PLA_raw,1014,14.43,5.25,,105,22.83,7.83,0.92
,TOT_raw,1014,78.93,21.14,,105,98.68,26.57,0.57
School Form Stand,SOC_raw,645,17.45,5.64,School Form Clin,102,22.5,7.35,0.54
,VIS_raw,645,11.63,3.58,,102,13.65,4.55,0.34
,HEA_raw,645,11.97,3.86,,102,14.92,5.03,0.46
,TOU_raw,645,11.15,3.07,,102,13.26,3.87,0.42
,TS_raw,645,11.54,3.51,,102,13.58,3.54,0.39
,BOD_raw,645,11.38,3.39,,102,13.56,4.03,0.4
,BAL_raw,645,11.38,3.46,,102,13.3,4,0.35
,PLA_raw,645,13.99,4.98,,102,20.08,6.71,0.73
,TOT_raw,645,69.05,19.33,,102,82.27,21.72,0.44
Self Form Stand,SOC_raw,957,17.53,4.26,Self Form Clin,105,19.69,4.84,0.32
,VIS_raw,957,16.6,5.06,,105,20.44,6.27,0.47
,HEA_raw,957,16.85,5.19,,105,20.54,5.82,0.46
,TOU_raw,957,15.41,4.18,,105,18.13,5.96,0.38
,TS_raw,957,17.21,5.07,,105,19.12,6.65,0.23
,BOD_raw,957,15.1,4.62,,105,17.51,7.03,0.3
,BAL_raw,957,14.05,4.25,,105,16.92,6.61,0.38
,PLA_raw,957,16.24,4.97,,105,20.71,6.67,0.54
,TOT_raw,957,95.22,24.03,,105,112.68,31.12,0.44
