form,scale,alpha_49,alpha_46,alpha_79,SEM_49,CV_90,CV_95
Infant Form,SOC,0.87,0.87,0.87,3.4,5.6,6.67
,VIS,0.73,0.68,0.77,4.98,8.19,9.76
,HEA,0.73,0.74,0.71,4.91,8.08,9.63
,TOU,0.67,0.68,0.66,5.47,8.99,10.72
,TS,0.78,0.8,0.76,3.94,6.48,7.72
,BOD,0.76,0.81,0.72,4.67,7.68,9.15
,BAL,0.78,0.77,0.79,4.37,7.2,8.57
,PLA,0.86,0.88,0.81,3.43,5.64,6.72
,TOT,0.91,0.91,0.91,2.93,4.83,5.75
