form,scale,n,r,p
Combined Sample,SOC,173,0.828,0
,VIS,,0.811,0
,HEA,,0.818,0
,TOU,,0.861,0
,TS,,0.85,0
,BOD,,0.866,0
,BAL,,0.832,0
,PLA,,0.826,0
,TOT,,0.922,0
