form_dx,scale,n_typ,mean_typ,sd_typ,scale1,n_clin,mean_clin,sd_clin,ES
Home-SLP,SOC,80,50.54,9.04,SOC,73,51.95,12.08,0.09
,VIS,80,48.23,9.41,VIS,73,52.51,10.44,0.29
,HEA,80,48.08,9.58,HEA,73,50.95,10.04,0.2
,TOU,80,48.76,8.91,TOU,73,52.88,8.99,0.31
,TS,80,48.4,9.08,TS,73,49.05,10.39,0.05
,BOD,80,49.73,9.03,BOD,73,53.15,11.42,0.23
,BAL,80,47.54,8.46,BAL,73,55.05,10.8,0.54
,PLA,80,48.52,9.1,PLA,73,58.38,12.83,0.64
,TOT,80,47.98,9.27,TOT,73,53.3,9.77,0.38
School-SLP,SOC,59,51.05,9.63,SOC,59,53.75,12.08,0.17
,VIS,59,49,8.76,VIS,59,57.9,12.06,0.6
,HEA,59,49.08,8.04,HEA,59,56.14,10.09,0.54
,TOU,59,48.88,8.03,TOU,59,56.93,10.68,0.6
,TS,59,48.69,7.5,TS,59,52,9.97,0.26
,BOD,59,48.95,8.32,BOD,59,56.81,11.85,0.55
,BAL,59,49.88,7.88,BAL,59,57.44,10.96,0.57
,PLA,59,49.9,7.84,PLA,59,59.44,12.44,0.68
,TOT,59,48.44,8.76,TOT,59,57.68,11.71,0.63
Self-SLP,SOC,14,45.29,9.5,SOC,14,54.5,11.53,0.6
,VIS,14,45.29,8.77,VIS,14,56.43,10.9,0.78
,HEA,14,47.71,10.39,HEA,14,52.93,9.47,0.34
,TOU,14,49.64,9.18,TOU,14,53,9.31,0.24
,TS,14,47,9.66,TS,14,51.14,13.11,0.26
,BOD,14,46.57,8.95,BOD,14,51.36,9.62,0.35
,BAL,14,47.36,8.5,BAL,14,55.07,10.12,0.57
,PLA,14,47.64,7.42,PLA,14,59.5,10.23,0.95
,TOT,14,46.93,9.24,TOT,14,54.43,8.54,0.56
