form,scale,n,correct_r,mean_t1,sd_t1,mean_t2,sd_t2,ES,SEM,CV_90,CV_95
Child 512 Home,SOC,129,0.79,46.94,8.88,46.61,8.79,0.02,4.09,6.73,8.02
,VIS,129,0.8,48.88,8.63,47.98,8.14,0.07,3.89,6.41,7.63
,HEA,129,0.85,50.72,8.83,50.58,8.32,0.01,3.45,5.67,6.76
,TOU,129,0.83,51.21,8.75,50.5,9.67,0.05,3.61,5.94,7.08
,TS,129,0.8,49.67,9.26,49.47,8.8,0.02,4.12,6.78,8.07
,BOD,129,0.88,50.14,8.11,50.36,8.53,0.02,2.75,4.53,5.39
,BAL,129,0.8,52.16,8.59,51.39,8.22,0.06,3.88,6.39,7.61
,PLA,129,0.82,51.16,8.18,50.83,7.91,0.03,3.51,5.78,6.88
,TOT,129,0.92,50.32,9.23,49.73,9.11,0.04,2.64,4.35,5.18
Child 512 School,SOC,107,0.81,46.29,8.28,46.14,8.41,0.01,3.59,5.91,7.05
,VIS,107,0.83,50.68,9.41,49.55,8.8,0.08,3.93,6.46,7.7
,HEA,107,0.86,50.93,9.02,49.42,8.73,0.11,3.4,5.6,6.67
,TOU,107,0.88,49.82,8.64,50.32,8.36,0.04,2.97,4.89,5.83
,TS,107,0.71,50.7,8.75,50.72,9.09,0,4.68,7.7,9.17
,BOD,107,0.87,51.48,9.76,51.57,10.33,0.01,3.53,5.8,6.91
,BAL,107,0.87,52.55,9.53,52.26,9.35,0.02,3.39,5.58,6.64
,PLA,107,0.86,49.12,9.37,48.57,9,0.04,3.52,5.8,6.91
,TOT,107,0.94,51.3,8.99,50.72,8.93,0.04,2.2,3.62,4.31
