form,scale,n,correct_r,mean_t1,sd_t1,mean_t2,sd_t2,ES,CV_90,CV_95
Child 512 Home,SOC,129,0.79,46.94,8.88,46.61,8.79,0.02,6.73,8.02
,VIS,129,0.8,48.88,8.63,47.98,8.14,0.07,6.41,7.63
,HEA,129,0.85,50.72,8.83,50.58,8.32,0.01,5.67,6.76
,TOU,129,0.83,51.21,8.75,50.5,9.67,0.05,5.94,7.08
,TS,129,0.8,49.67,9.26,49.47,8.8,0.02,6.78,8.07
,BOD,129,0.88,50.14,8.11,50.36,8.53,0.02,4.53,5.39
,BAL,129,0.8,52.16,8.59,51.39,8.22,0.06,6.39,7.61
,PLA,129,0.82,51.16,8.18,50.83,7.91,0.03,5.78,6.88
,TOT,129,0.92,50.32,9.23,49.73,9.11,0.04,4.35,5.18
Child 512 School,SOC,110,0.79,47.07,9.11,46.47,9.06,0.04,6.95,8.28
,VIS,110,0.84,50.19,8.95,49.13,8.1,0.08,5.84,6.96
,HEA,110,0.83,50.44,8.61,49.61,8.13,0.07,5.92,7.05
,TOU,110,0.86,50.36,8.71,50.57,8.19,0.02,5.4,6.44
,TS,110,0.74,50.96,8.07,51.32,8.81,0.03,6.73,8.02
,BOD,110,0.84,52.1,9.23,51.71,9.91,0.03,6.01,7.16
,BAL,110,0.84,52.36,9.71,51.86,8.93,0.04,6.3,7.51
,PLA,110,0.85,50.15,9.13,49.68,8.88,0.03,5.84,6.96
,TOT,110,0.93,51.14,8.7,50.55,8.46,0.04,3.8,4.53
