form,n,SPM2_row_label,SP2_col_label,r,p
Adult-Self-Stand,29,SOC,TS,0.163,0.397
,,VIS,TS,0.479,0.009
,,HEA,TS,0.32,0.09
,,TOU,TS,0.466,0.011
,,TS,TS,0.377,0.044
,,BOD,TS,0.205,0.286
,,BAL,TS,0.315,0.096
,,PLA,TS,0.325,0.085
,,TOT,TS,0.454,0.013
,,SOC,Mv,0.292,0.125
,,VIS,Mv,0.446,0.015
,,HEA,Mv,0.423,0.022
,,TOU,Mv,0.582,0.001
,,TS,Mv,0.455,0.013
,,BOD,Mv,0.292,0.124
,,BAL,Mv,0.764,0
,,PLA,Mv,0.517,0.004
,,TOT,Mv,0.612,0
,,SOC,Vs,0.391,0.036
,,VIS,Vs,0.667,0
,,HEA,Vs,0.489,0.007
,,TOU,Vs,0.712,0
,,TS,Vs,0.592,0.001
,,BOD,Vs,0.484,0.008
,,BAL,Vs,0.557,0.002
,,PLA,Vs,0.491,0.007
,,TOT,Vs,0.724,0
,,SOC,Tc,0.313,0.098
,,VIS,Tc,0.523,0.004
,,HEA,Tc,0.507,0.005
,,TOU,Tc,0.566,0.001
,,TS,Tc,0.607,0
,,BOD,Tc,0.395,0.034
,,BAL,Tc,0.528,0.003
,,PLA,Tc,0.42,0.023
,,TOT,Tc,0.655,0
,,SOC,Ac,0.491,0.007
,,VIS,Ac,0.602,0.001
,,HEA,Ac,0.236,0.218
,,TOU,Ac,0.609,0
,,TS,Ac,0.374,0.045
,,BOD,Ac,0.505,0.005
,,BAL,Ac,0.471,0.01
,,PLA,Ac,0.444,0.016
,,TOT,Ac,0.559,0.002
,,SOC,Ad,0.248,0.194
,,VIS,Ad,0.586,0.001
,,HEA,Ad,0.583,0.001
,,TOU,Ad,0.634,0
,,TS,Ad,0.395,0.034
,,BOD,Ad,0.663,0
,,BAL,Ad,0.517,0.004
,,PLA,Ad,0.469,0.01
,,TOT,Ad,0.693,0
,,SOC,LR,0.46,0.012
,,VIS,LR,0.654,0
,,HEA,LR,0.331,0.079
,,TOU,LR,0.663,0
,,TS,LR,0.391,0.036
,,BOD,LR,0.615,0
,,BAL,LR,0.612,0
,,PLA,LR,0.566,0.001
,,TOT,LR,0.653,0
,,SOC,SSK,-0.431,0.02
,,VIS,SSK,-0.06,0.756
,,HEA,SSK,-0.042,0.83
,,TOU,SSK,0.104,0.591
,,TS,SSK,0.133,0.491
,,BOD,SSK,-0.148,0.444
,,BAL,SSK,0.16,0.408
,,PLA,SSK,0.229,0.231
,,TOT,SSK,0.035,0.859
,,SOC,SS,0.498,0.006
,,VIS,SS,0.706,0
,,HEA,SS,0.618,0
,,TOU,SS,0.759,0
,,TS,SS,0.578,0.001
,,BOD,SS,0.54,0.002
,,BAL,SS,0.593,0.001
,,PLA,SS,0.514,0.004
,,TOT,SS,0.789,0
,,SOC,SA,0.557,0.002
,,VIS,SA,0.732,0
,,HEA,SA,0.692,0
,,TOU,SA,0.685,0
,,TS,SA,0.656,0
,,BOD,SA,0.627,0
,,BAL,SA,0.561,0.002
,,PLA,SA,0.362,0.053
,,TOT,SA,0.824,0
Adult-Self-Clin,76,SOC,TS,0.24,0.037
,,VIS,TS,0.226,0.05
,,HEA,TS,0.224,0.052
,,TOU,TS,0.256,0.026
,,TS,TS,0.322,0.005
,,BOD,TS,0.29,0.011
,,BAL,TS,0.373,0.001
,,PLA,TS,0.235,0.041
,,TOT,TS,0.352,0.002
,,SOC,Mv,0.41,0
,,VIS,Mv,0.561,0
,,HEA,Mv,0.552,0
,,TOU,Mv,0.384,0.001
,,TS,Mv,0.435,0
,,BOD,Mv,0.463,0
,,BAL,Mv,0.67,0
,,PLA,Mv,0.342,0.002
,,TOT,Mv,0.668,0
,,SOC,Vs,0.553,0
,,VIS,Vs,0.625,0
,,HEA,Vs,0.61,0
,,TOU,Vs,0.45,0
,,TS,Vs,0.358,0.002
,,BOD,Vs,0.452,0
,,BAL,Vs,0.588,0
,,PLA,Vs,0.396,0
,,TOT,Vs,0.68,0
,,SOC,Tc,0.321,0.005
,,VIS,Tc,0.298,0.009
,,HEA,Tc,0.449,0
,,TOU,Tc,0.507,0
,,TS,Tc,0.433,0
,,BOD,Tc,0.271,0.018
,,BAL,Tc,0.511,0
,,PLA,Tc,0.179,0.123
,,TOT,Tc,0.526,0
,,SOC,Ac,0.361,0.001
,,VIS,Ac,0.209,0.07
,,HEA,Ac,0.375,0.001
,,TOU,Ac,0.185,0.11
,,TS,Ac,0.299,0.009
,,BOD,Ac,0.257,0.025
,,BAL,Ac,0.258,0.024
,,PLA,Ac,0.221,0.055
,,TOT,Ac,0.348,0.002
,,SOC,Ad,0.428,0
,,VIS,Ad,0.495,0
,,HEA,Ad,0.8,0
,,TOU,Ad,0.365,0.001
,,TS,Ad,0.264,0.021
,,BOD,Ad,0.482,0
,,BAL,Ad,0.522,0
,,PLA,Ad,0.252,0.028
,,TOT,Ad,0.665,0
,,SOC,LR,0.545,0
,,VIS,LR,0.641,0
,,HEA,LR,0.493,0
,,TOU,LR,0.437,0
,,TS,LR,0.27,0.018
,,BOD,LR,0.632,0
,,BAL,LR,0.63,0
,,PLA,LR,0.562,0
,,TOT,LR,0.67,0
,,SOC,SSK,-0.153,0.187
,,VIS,SSK,-0.168,0.147
,,HEA,SSK,0.129,0.266
