mod_var,mod_val,n,mean_TOT,sd_TOT,ES_lag,ES_grand
Age Range,5 to 8 years,331,71.34,12.64,,-0.04
"",9 to 12 years,224,72.86,17.63,0.1,0.06
Gender,Male,272,75.08,18.03,,0.21
"",Female,283,68.95,10.15,-0.43,-0.2
Ethnicity,Hispanic,109,72.81,18.77,,0.06
"",Asian,14,74.36,13.55,0.1,0.16
"",Black,137,71.29,14.7,-0.22,-0.04
"",White,262,71.61,12.58,0.02,-0.02
"",AmericanIndAlaskanNat,2,76.5,19.09,0.31,0.31
"",MultiRacial,26,73.19,19.15,-0.17,0.08
"",Other,5,74.8,18.59,0.09,0.19
Region,northeast,81,68.28,9.03,,-0.25
"",midwest,156,69.96,13.4,0.15,-0.13
"",south,229,74.95,16.93,0.33,0.2
"",west,89,71.1,14.62,-0.24,-0.06
