IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,QT1,QT2,QT4,QT5,QT6,QT7,QT10,QT11,QT12,QT13,QT14,QT15,QT17,QT18,QT19,QT20,QT21,QT23,QT25,QT26,QT27,QT28,QT30,QT31,QT32,QT33,QT34,QT35,QT37,QT39,QT41,QT43,QT45,QT46,QT47,QT48,QT49,QT50,QT51,QT54,QT55,QT56,QT57,QT60,QT62,QT65,QT66,QT67,QT68,QT69,QT71,QT72,QT73,QT74,QT75,QT76,QT77,QT78,QT79,QT81,QT83,QT85,QT86,QT87,QT89,QT91,QT92,QT93,QT94,QT95,QT96,QT97,QT98,QT100,QT101,QT103,QT105,QT106,QT107,QT108,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
105017,SM,30,Female,Some college or associate degree,White,midwest,1,3,1,1,2,1,2,2,1,1,1,2,2,4,3,4,1,1,2,4,1,3,1,4,1,1,2,1,2,2,4,1,2,1,1,1,2,2,1,2,3,3,3,1,2,3,3,3,2,1,1,3,1,3,1,3,2,2,1,1,1,2,1,2,2,1,1,4,3,1,3,1,3,2,3,2,1,2,1,2,11 to 31.5 mo,119,15,24,18,17,24,18,18,20,67,46,69,57,60,69,68,60,63
105018,SM,27,Female,Bachelor's degree or higher,White,midwest,1,2,1,1,2,1,1,1,1,1,1,2,1,3,4,2,1,1,1,3,1,3,2,1,2,2,1,1,3,4,2,1,1,3,1,1,2,1,1,1,3,2,2,1,1,2,1,2,1,1,1,3,1,2,1,1,2,1,1,1,1,4,2,2,4,1,4,2,1,3,1,3,2,2,3,1,1,1,1,1,11 to 31.5 mo,107,12,19,20,14,16,14,24,16,61,36,59,61,51,52,56,73,54
105019,SM,5,Female,Some college or associate degree,Hispanic,northeast,2,2,2,1,1,1,2,2,3,2,2,2,2,2,1,2,1,1,1,3,3,1,2,3,2,2,1,1,3,2,2,2,2,2,1,1,2,2,2,1,2,2,1,2,2,3,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,2,3,1,1,1,2,3,03.5 to 10 mo,98,18,17,20,17,21,10,13,17,56,54,55,61,60,64,40,46,56
105024,SM,21,Female,Bachelor's degree or higher,White,west,2,2,1,2,1,2,1,1,2,2,3,2,2,2,2,2,1,2,2,3,2,2,1,1,2,1,3,1,2,3,2,1,2,4,2,1,1,2,3,2,2,3,1,1,1,1,2,1,3,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,3,2,1,1,2,1,2,1,2,2,2,1,2,1,1,2,11 to 31.5 mo,106,16,21,18,20,16,15,16,16,61,48,63,57,67,52,60,55,54
105025,SM,21,Female,Bachelor's degree or higher,White,west,2,2,1,2,2,1,2,1,2,3,3,2,2,2,3,2,1,2,1,4,2,2,1,2,2,1,2,1,2,3,2,1,2,4,2,1,1,1,3,2,2,4,1,1,1,1,1,2,3,1,2,2,2,1,1,2,1,2,2,1,1,1,2,2,4,2,1,2,2,2,2,1,2,1,3,2,2,1,1,2,11 to 31.5 mo,111,18,22,18,19,17,16,19,17,63,54,65,57,65,55,63,63,56
105029,SM,7,Male,Bachelor's degree or higher,White,midwest,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,66,12,10,10,10,14,10,12,10,35,36,33,32,35,47,40,42,36
105033,SM,15,Male,Bachelor's degree or higher,White,midwest,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,11 to 31.5 mo,68,15,12,13,11,10,10,12,11,37,46,40,43,40,33,40,42,39
105036,SM,4,Male,Bachelor's degree or higher,White,midwest,1,2,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,3,1,1,1,1,1,1,2,1,1,1,3,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,2,1,2,2,1,1,2,2,03.5 to 10 mo,83,19,16,14,13,18,10,12,18,48,56,52,46,47,57,40,42,58
105037,SM,21,Male,Bachelor's degree or higher,White,midwest,2,2,2,2,1,1,2,2,2,2,1,1,1,4,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,1,2,11 to 31.5 mo,81,18,16,14,12,17,10,12,15,46,54,52,46,44,55,40,42,51
105039,SM,20,Female,Bachelor's degree or higher,White,west,2,2,1,2,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,3,1,2,1,2,2,1,1,1,1,1,1,1,4,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,1,2,11 to 31.5 mo,79,14,15,13,13,16,10,12,15,45,42,49,43,47,52,40,42,51
105045,SM,13,Female,Bachelor's degree or higher,Hispanic,south,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,11 to 31.5 mo,79,13,14,13,11,13,13,15,13,45,39,47,43,40,44,53,52,46
