IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,QT1,QT2,QT4,QT5,QT6,QT7,QT10,QT11,QT12,QT13,QT14,QT15,QT17,QT18,QT19,QT20,QT21,QT23,QT25,QT26,QT27,QT28,QT30,QT31,QT32,QT33,QT34,QT35,QT37,QT39,QT41,QT43,QT45,QT46,QT47,QT48,QT49,QT50,QT51,QT54,QT55,QT56,QT57,QT60,QT62,QT65,QT66,QT67,QT68,QT69,QT71,QT72,QT73,QT74,QT75,QT76,QT77,QT78,QT79,QT81,QT83,QT85,QT86,QT87,QT89,QT91,QT92,QT93,QT94,QT95,QT96,QT97,QT98,QT100,QT101,QT103,QT105,QT106,QT107,QT108,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
126107,SM,17,Male,Bachelor's degree or higher,Hispanic,west,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,3,2,1,2,1,3,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,3,1,2,1,1,1,1,1,2,1,1,2,2,2,11 to 31.5 mo,88,19,18,15,12,13,13,17,14,51,56,57,49,44,44,53,58,49
126111,SM,24,Female,Bachelor's degree or higher,White,midwest,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,11 to 31.5 mo,68,11,14,11,12,10,10,11,14,37,32,47,36,44,33,40,38,49
126112,SM,15,Female,Bachelor's degree or higher,White,west,1,3,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,11 to 31.5 mo,65,15,11,12,10,11,11,10,13,35,46,37,40,35,37,45,34,46
126130,SM,7,Female,Bachelor's degree or higher,White,south,2,2,1,2,2,2,2,1,2,2,1,1,1,4,1,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,1,1,2,2,1,1,1,1,1,2,4,1,2,2,1,1,2,3,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,03.5 to 10 mo,95,18,17,16,13,19,15,15,19,55,54,55,52,47,59,60,52,61
126136,SM,20,Male,Bachelor's degree or higher,MultiRacial,west,2,3,1,2,3,2,2,2,1,1,1,3,3,3,1,2,2,1,1,4,3,2,2,4,1,1,2,1,2,2,2,1,2,1,1,2,3,2,1,1,2,2,1,2,1,4,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,3,1,3,2,3,3,1,2,1,1,11 to 31.5 mo,99,19,21,20,16,18,11,13,20,57,56,63,61,57,57,45,46,63
126139,SM,5,Female,Bachelor's degree or higher,White,south,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,03.5 to 10 mo,72,13,11,12,13,13,10,13,15,40,39,37,40,47,44,40,46,51
126142,SM,18,Male,Bachelor's degree or higher,White,west,2,3,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,2,3,1,2,2,1,1,2,1,1,1,3,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,11 to 31.5 mo,93,20,16,16,15,18,14,14,17,54,58,52,52,54,57,56,49,56
126144,SM,4,Female,Bachelor's degree or higher,White,west,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,03.5 to 10 mo,62,13,10,11,10,10,10,11,10,32,39,33,36,35,33,40,38,36
126152,SM,16,Female,Bachelor's degree or higher,Hispanic,west,2,2,2,2,2,2,2,1,2,1,1,1,2,3,3,3,1,2,1,2,1,3,1,1,2,1,1,1,2,3,3,1,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,2,3,1,2,2,1,1,1,1,1,1,1,2,2,1,2,2,4,1,2,1,4,1,2,1,1,1,2,2,1,1,1,2,11 to 31.5 mo,97,18,19,16,14,15,13,20,14,56,54,59,52,51,50,53,65,49
126158,SM,20,Male,Bachelor's degree or higher,White,west,2,3,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,11 to 31.5 mo,74,21,14,13,12,14,10,11,12,41,61,47,43,44,47,40,38,43
126160,SM,15,Female,Bachelor's degree or higher,White,midwest,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,11 to 31.5 mo,70,13,10,12,11,13,11,13,12,38,39,33,40,40,44,45,46,43
126162,SM,13,Female,Bachelor's degree or higher,White,south,2,1,2,1,2,1,1,2,3,2,1,1,1,3,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,3,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,2,1,3,1,2,2,2,2,1,1,1,2,11 to 31.5 mo,85,17,15,13,13,16,14,14,17,49,51,49,43,47,52,56,49,56
126166,SM,17,Male,Bachelor's degree or higher,White,west,1,2,1,1,1,1,1,2,1,2,1,1,2,3,1,2,1,1,1,2,2,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,11 to 31.5 mo,76,13,15,15,12,10,12,12,11,43,39,49,49,44,33,49,42,39
126177,SM,10,Female,Bachelor's degree or higher,White,midwest,2,2,1,2,2,2,2,2,2,3,2,1,2,4,1,3,2,1,1,3,3,2,4,4,1,2,1,2,3,2,1,3,2,4,1,1,2,1,1,1,2,3,1,3,2,2,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,03.5 to 10 mo,109,20,20,24,17,20,11,17,13,62,58,61,68,60,62,45,58,46
126178,SM,6,Female,Bachelor's degree or higher,Hispanic,midwest,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,03.5 to 10 mo,76,10,14,12,10,14,10,16,11,43,27,47,40,35,47,40,55,39
126189,SM,10,Female,Bachelor's degree or higher,White,west,2,2,2,2,3,2,2,1,1,1,1,1,1,2,2,2,1,1,1,3,2,2,3,3,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,3,2,3,1,1,1,2,1,2,3,1,2,1,2,03.5 to 10 mo,89,18,15,19,13,13,11,18,16,51,54,49,59,47,44,45,60,54
126193,SM,21,Female,Bachelor's degree or higher,White,south,3,2,1,2,3,2,2,2,3,2,2,2,1,2,3,3,1,1,2,4,1,2,1,1,1,1,2,1,3,3,1,1,2,4,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,3,2,2,2,2,2,1,3,1,2,1,1,2,2,2,1,2,1,1,11 to 31.5 mo,99,22,21,16,14,15,13,20,15,57,63,63,52,51,50,53,65,51
126195,SM,30,Female,Bachelor's degree or higher,White,west,2,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,11 to 31.5 mo,74,14,12,16,10,13,10,13,13,41,42,40,52,35,44,40,46,46
126199,SM,25,Male,Bachelor's degree or higher,MultiRacial,west,1,3,1,2,2,1,2,1,1,1,2,2,1,2,3,2,1,1,1,4,2,2,1,1,1,1,1,1,3,2,2,1,2,3,2,1,2,1,1,1,2,4,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,1,3,1,1,1,1,1,2,1,1,2,1,1,11 to 31.5 mo,94,15,19,15,16,17,10,17,12,54,46,59,49,57,55,40,58,43
126209,SM,26,Male,Some college or associate degree,Hispanic,west,1,1,1,1,1,1,2,1,4,4,2,4,1,4,3,3,1,1,1,4,2,2,1,1,1,1,1,1,2,3,2,1,1,3,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,1,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,11 to 31.5 mo,96,17,24,15,13,15,12,17,12,55,51,69,49,47,50,49,58,43
126229,SM,25,Female,Bachelor's degree or higher,White,west,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,3,4,1,1,2,3,1,2,2,2,1,2,3,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,3,2,2,1,1,2,2,1,2,1,1,2,1,2,11 to 31.5 mo,94,12,14,17,16,19,12,16,15,54,36,47,54,57,59,49,55,51
126230,SM,5,Male,Bachelor's degree or higher,White,west,1,2,1,1,3,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,3,1,2,2,3,2,2,2,2,1,2,2,2,1,2,3,4,1,1,1,3,1,2,1,2,1,1,3,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,3,2,3,1,1,2,2,1,2,1,1,2,1,2,03.5 to 10 mo,102,13,15,20,19,16,14,18,15,59,39,49,61,65,52,56,60,51
126281,SM,11,Female,Bachelor's degree or higher,White,south,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,2,11 to 31.5 mo,73,13,14,12,13,12,10,12,15,41,39,47,40,47,40,40,42,51
126302,SM,28,Male,Bachelor's degree or higher,White,midwest,2,2,1,2,2,2,2,2,1,1,1,2,1,3,1,1,1,1,2,3,2,1,1,3,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,11 to 31.5 mo,79,17,16,15,13,13,10,12,12,45,51,52,49,47,44,40,42,43
126303,SM,5,Female,Bachelor's degree or higher,White,midwest,1,2,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,1,3,2,1,2,3,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,03.5 to 10 mo,83,16,15,19,14,13,10,12,12,48,48,49,59,51,44,40,42,43
126308,SM,9,Female,Bachelor's degree or higher,White,midwest,2,2,1,2,3,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,03.5 to 10 mo,76,17,13,15,11,13,11,13,12,43,51,44,49,40,44,45,46,43
126317,SM,30,Male,Bachelor's degree or higher,White,midwest,2,2,1,2,2,2,2,2,2,2,1,1,1,4,1,2,2,2,2,3,1,2,2,2,1,3,1,1,2,3,2,2,1,3,1,1,2,2,1,1,3,2,2,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,3,3,2,2,2,2,2,11 to 31.5 mo,97,19,19,18,16,15,13,16,22,56,56,59,57,57,50,53,55,66
126318,SM,6,Male,Bachelor's degree or higher,White,midwest,2,2,2,2,3,2,3,2,2,2,2,1,1,3,1,2,2,2,2,2,1,3,1,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,1,1,2,3,1,2,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1,3,2,2,2,2,3,1,3,1,1,2,2,3,3,2,2,2,2,2,03.5 to 10 mo,100,22,18,17,14,17,14,20,21,57,63,57,54,51,55,56,65,64
126324,SM,10,Male,Bachelor's degree or higher,Hispanic,northeast,1,1,1,2,2,2,1,1,2,2,1,1,1,3,1,1,1,1,1,2,3,2,1,2,1,1,1,2,2,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,3,1,2,1,1,1,1,1,2,1,1,2,1,2,03.5 to 10 mo,82,15,13,18,13,11,11,16,13,47,46,44,57,47,37,45,55,46
126326,SM,16,Female,Bachelor's degree or higher,White,south,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,11 to 31.5 mo,74,14,14,12,12,14,10,12,13,41,42,47,40,44,47,40,42,46
126332,SM,22,Male,Bachelor's degree or higher,White,northeast,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,11 to 31.5 mo,72,15,13,14,11,12,10,12,13,40,46,44,46,40,40,40,42,46
126333,SM,21,Female,Bachelor's degree or higher,White,midwest,2,2,1,2,2,2,1,1,2,2,1,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,3,1,1,1,1,2,11 to 31.5 mo,72,17,13,11,12,14,10,12,16,40,51,44,36,44,47,40,42,54
126334,SM,7,Female,Bachelor's degree or higher,White,midwest,1,1,1,1,2,1,2,1,3,3,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,3,1,1,1,1,2,03.5 to 10 mo,71,16,12,12,12,13,10,12,16,39,48,40,40,44,44,40,42,54
126335,SM,29,Female,Bachelor's degree or higher,White,midwest,2,2,2,2,1,1,2,2,3,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,1,2,1,2,2,2,1,1,2,2,2,1,1,11 to 31.5 mo,76,18,13,11,10,12,12,18,16,43,54,44,36,35,40,49,60,54
126336,SM,8,Male,Bachelor's degree or higher,White,midwest,2,2,2,2,2,2,2,2,3,1,1,1,2,4,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,3,1,2,1,2,2,2,1,1,1,2,2,1,2,03.5 to 10 mo,84,20,16,13,14,11,11,19,16,48,58,52,43,51,37,45,63,54
126360,SM,7,Female,Bachelor's degree or higher,White,west,2,2,1,2,2,2,1,1,3,3,1,2,2,3,2,2,2,1,1,2,2,2,2,3,1,2,2,1,3,3,3,2,2,3,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,2,3,1,2,2,3,2,3,1,1,1,2,2,03.5 to 10 mo,100,19,18,21,18,15,10,18,19,57,56,57,63,63,50,40,60,61
126361,SM,26,Female,Bachelor's degree or higher,White,west,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,3,2,2,2,1,3,1,1,3,3,1,1,1,1,1,1,2,1,1,1,2,4,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,1,1,1,1,1,2,1,1,2,1,1,11 to 31.5 mo,91,16,14,21,11,18,10,17,12,52,48,47,63,40,57,40,58,43
126363,SM,19,Male,Bachelor's degree or higher,White,west,2,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,3,2,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,1,2,1,2,3,1,1,2,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,11 to 31.5 mo,88,14,17,16,14,16,12,13,14,51,42,55,52,51,52,49,46,49
126370,SM,18,Female,Bachelor's degree or higher,Asian,west,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,3,2,1,2,2,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,1,3,2,1,1,2,1,1,1,2,2,1,1,1,2,2,1,1,2,3,2,2,1,2,2,2,2,2,2,2,2,11 to 31.5 mo,97,22,17,20,13,15,16,16,19,56,63,55,61,47,50,63,55,61
126372,SM,21,Male,Bachelor's degree or higher,White,northeast,3,3,1,2,2,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,2,3,2,2,1,2,1,1,3,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,11 to 31.5 mo,84,17,14,19,13,12,13,13,17,48,51,47,59,47,40,53,46,56
126384,SM,5,Male,Bachelor's degree or higher,White,west,3,2,1,3,4,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1,2,3,2,2,2,3,1,1,2,2,1,1,2,3,1,2,1,2,1,2,2,2,1,1,1,3,3,2,3,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,3,1,2,1,3,1,1,1,1,2,2,1,1,2,1,2,03.5 to 10 mo,97,22,13,20,16,19,13,16,14,56,63,44,61,57,59,53,55,49
126394,SM,8,Male,Bachelor's degree or higher,Asian,west,1,2,1,1,1,1,2,1,3,3,1,2,1,3,1,2,1,1,1,3,1,2,1,2,2,1,2,1,2,2,2,1,1,2,2,1,4,1,1,1,2,1,1,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,03.5 to 10 mo,86,16,16,16,16,16,10,12,13,49,48,52,52,57,52,40,42,46
126397,SM,10,Male,Bachelor's degree or higher,White,west,2,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,1,2,2,1,1,1,2,03.5 to 10 mo,84,17,16,17,12,15,10,14,15,48,51,52,54,44,50,40,49,51
126398,SM,30,Female,Bachelor's degree or higher,Hispanic,west,2,2,1,2,3,2,2,1,1,1,1,1,1,2,1,3,1,1,2,2,2,2,2,3,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,1,2,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,2,1,1,2,2,2,11 to 31.5 mo,82,17,15,16,15,14,11,11,18,47,51,49,52,54,47,45,38,58
126399,SM,8,Male,Bachelor's degree or higher,White,west,3,3,2,2,3,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,03.5 to 10 mo,80,20,13,14,12,15,12,14,15,46,58,44,46,44,50,49,49,51
131001,SM,11,Male,High school graduate (including GED),White,west,1,3,1,1,2,1,2,1,1,1,2,1,2,4,4,2,2,1,3,3,1,2,1,4,1,1,2,1,3,2,3,2,2,3,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,4,2,1,1,1,1,1,1,2,1,1,2,1,2,3,3,2,2,3,1,2,3,2,2,3,2,1,2,1,2,11 to 31.5 mo,113,14,24,18,19,17,15,20,20,64,42,69,57,65,55,60,65,63
131002,SM,13,Male,Bachelor's degree or higher,MultiRacial,west,2,2,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,3,1,2,3,1,2,1,2,1,2,1,1,11 to 31.5 mo,80,16,12,14,13,15,11,15,16,46,48,40,46,47,50,45,52,54
131003,SM,24,Female,Bachelor's degree or higher,Hispanic,west,1,2,1,2,1,1,1,1,1,1,3,4,2,4,3,4,1,1,2,4,4,2,3,4,1,2,1,1,4,3,1,1,2,2,2,1,2,1,1,2,3,3,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,11 to 31.5 mo,110,12,28,25,15,17,11,14,11,63,36,75,70,54,55,45,49,39
131004,SM,6,Female,Bachelor's degree or higher,Hispanic,west,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,03.5 to 10 mo,75,14,12,15,11,12,12,13,14,42,42,40,49,40,40,49,46,49
131005,SM,16,Female,Bachelor's degree or higher,Hispanic,west,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,11 to 31.5 mo,70,14,13,13,11,11,11,11,14,38,42,44,43,40,37,45,38,49
131006,SM,20,Male,Some college or associate degree,White,west,1,2,1,1,2,1,1,1,2,1,1,1,2,4,1,2,1,1,2,2,2,2,3,4,1,2,2,1,2,2,2,1,2,3,1,1,1,2,1,1,3,1,1,2,2,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,11 to 31.5 mo,95,13,17,21,15,18,11,13,12,55,39,55,63,54,57,45,46,43
131007,SM,8,Female,Bachelor's degree or higher,White,west,3,2,1,1,3,1,2,3,3,3,2,3,2,2,1,2,2,1,2,3,2,2,1,2,1,2,1,1,1,3,2,1,1,3,1,2,1,2,1,2,3,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,3,2,2,2,1,2,2,2,03.5 to 10 mo,97,22,20,16,16,17,13,15,20,56,63,61,52,57,55,53,52,63
131010,SM,4,Female,Bachelor's degree or higher,White,midwest,2,1,2,2,2,2,2,2,2,2,1,2,2,4,2,2,2,1,2,2,2,2,1,1,3,1,3,2,3,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,3,3,2,2,1,2,2,1,1,2,2,1,1,2,3,03.5 to 10 mo,99,19,20,20,14,16,12,17,17,57,56,61,61,51,52,49,58,56
131011,SM,29,Male,Bachelor's degree or higher,White,west,2,3,2,2,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,3,1,2,1,2,2,2,1,3,3,2,3,1,2,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,3,2,2,1,1,1,1,1,2,1,1,2,1,2,11 to 31.5 mo,95,18,13,16,17,20,14,15,13,55,54,44,52,60,62,56,52,46
131013,SM,29,Female,High school graduate (including GED),White,west,1,1,1,2,1,1,2,1,1,1,3,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,1,3,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,1,1,2,1,2,2,1,1,1,1,2,11 to 31.5 mo,81,12,15,13,13,15,10,15,14,46,36,49,43,47,50,40,52,49
131014,SM,5,Male,Bachelor's degree or higher,White,west,1,2,2,2,2,2,1,2,2,2,1,1,2,4,1,1,2,1,2,2,2,2,1,3,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,03.5 to 10 mo,86,18,17,18,12,14,12,13,13,49,54,55,57,44,47,49,46,46
131016,SM,5,Female,Some college or associate degree,White,west,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,2,2,2,2,3,1,2,1,1,2,1,1,1,1,1,2,03.5 to 10 mo,85,13,12,15,11,17,12,18,13,49,39,40,49,40,55,49,60,46
