T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,185--240,31--40,33--40,35--40,32--40,33--40,33--40,32--40,32--40
74,184,-,32,34,-,-,-,-,31
73,179--183,-,-,33,31,32,31--32,31,-
72,177--178,30,31,32,-,31,-,-,30
71,176,-,-,31,30,30,30,30,-
70,172--175,-,30,30,29,-,-,-,29
69,167--171,29,29,28--29,-,29,29,29,-
68,163--166,-,27--28,27,27--28,28,27--28,27--28,28
67,157--162,28,26,26,25--26,26--27,25--26,26,27
66,147--156,27,25,25,23--24,24--25,24,24--25,26
65,123--146,-,22--24,23--24,20--22,23,22--23,21--23,25
64,99--122,26,20--21,21--22,17--19,19--22,18--21,18--20,24
63,90--98,25,17--19,19--20,15--16,17--18,16--17,16--17,23
62,86--89,-,16,17--18,14,16,15,15,22
61,82--85,24,15,16,13,15,14,14,21
60,78--81,-,14,15,-,14,13,13,20
59,74--77,23,13,14,12,13,-,-,19
58,71--73,22,-,13,-,-,12,12,18
57,70,-,12,-,-,12,-,-,17
56,68--69,21,-,12,11,-,11,11,16
55,67,-,11,-,-,-,-,-,15
54,66,20,-,-,-,11,-,-,14
53,65,19,-,11,-,-,-,-,-
52,64,-,-,-,-,-,-,-,13
51,63,18,-,-,-,-,-,-,-
50,62,17,-,-,-,-,-,-,12
49,-,16,-,-,-,-,-,-,-
48,-,15,-,-,-,-,-,-,-
47,61,-,-,-,-,-,-,-,11
46,-,14,-,-,10,-,10,10,-
45,-,-,10,-,-,10,-,-,-
44,-,13,-,10,-,-,-,-,-
43,-,-,-,-,-,-,-,-,-
42,-,12,-,-,-,-,-,-,-
41,60,-,-,-,-,-,-,-,-
40,-,11,-,-,-,-,-,-,10
39,-,-,-,-,-,-,-,-,-
38,-,-,-,-,-,-,-,-,-
37,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-
34,-,10,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
