T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,179--240,29--40,33--40,33--40,31--40,34--40,31--40,32--40,33--40
74,176--178,-,32,32,30,31--33,-,29--31,-
73,172--175,28,-,31,-,-,30,28,32
72,169--171,-,31,-,29,30,-,-,31
71,163--168,-,30,30,-,-,29,-,30
70,161--162,27,-,-,28,29,-,27,29
69,158--160,-,29,29,27,28,28,-,-
68,154--157,26,-,-,-,-,27,26,28
67,147--153,-,28,28,26,27,26,25,27
66,142--146,25,27,-,25,-,25,24,26
65,138--141,-,26,27,24,26,24,23,-
64,135--137,24,-,26,23,25,-,22,25
63,131--134,-,25,25,-,-,23,20--21,24
62,128--130,23,24,24,22,24,22,-,23
61,124--127,22,23,23,21,23,21,19,22
60,119--123,-,22,22,20,22,20,18,21
59,114--118,21,-,21,19,-,19,-,-
58,111--113,-,21,-,-,21,-,17,20
57,109--110,20,20,20,18,20,18,16,19
56,106--108,19,19,-,17,-,17,15,-
55,103--105,-,-,19,-,19,-,-,18
54,99--102,-,18,18,16,18,16,14,17
53,97--98,18,-,-,-,-,15,-,-
52,93--96,-,17,17,15,17,-,13,16
51,91--92,17,16,16,-,-,14,-,-
50,88--90,-,-,-,-,16,-,-,15
49,85--87,16,15,15,14,-,13,12,-
48,82--84,-,14,-,-,15,-,-,14
47,80--81,-,-,14,-,-,-,11,-
46,78--79,15,13,13,13,14,12,-,13
45,76--77,-,-,-,-,-,-,-,-
44,74--75,14,12,-,-,13,-,-,12
43,72--73,-,-,12,12,-,11,-,-
42,70--71,13,11,-,-,-,-,-,11
41,68--69,-,-,11,-,12,-,-,-
40,67,-,-,-,11,-,-,10,-
39,66,12,-,-,-,-,-,-,-
38,-,-,-,-,-,11,-,-,-
37,65,-,-,-,-,-,10,-,-
36,64,11,10,-,-,-,-,-,10
35,63,-,-,10,-,-,-,-,-
34,-,-,-,-,10,-,-,-,-
33,62,-,-,-,-,10,-,-,-
32,-,-,-,-,-,-,-,-,-
31,61,10,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,60,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
