T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,184--240,30--40,31--40,32--40,33--40,34--40,32--40,33--40,34--40
74,181--183,29,29--30,-,31--32,33,31,31--32,33
73,177--180,-,28,30--31,30,32,30,-,32
72,171--176,-,-,29,-,31,-,30,31
71,163--170,28,27,28,29,30,29,28--29,30
70,159--162,27,26,27,28,29,28,27,-
69,154--158,-,-,-,27,-,27,26,29
68,150--153,26,25,26,25--26,28,26,25,28
67,143--149,-,24,25,24,27,24--25,23--24,27
66,133--142,25,23,24,22--23,25--26,23,22,25--26
65,118--132,-,22,22--23,21,24,21--22,20--21,24
64,110--117,24,20--21,21,20,23,20,18--19,23
63,106--109,-,19,19--20,19,22,19,17,22
62,100--105,23,-,18,17--18,21,18,16,21
61,97--99,22,18,17,-,20,17,15,20
60,93--96,-,17,16,16,19,16,14,19
59,88--92,21,16,-,15,18,15,-,18
58,86--87,20,15,15,-,17,-,13,-
57,83--85,-,-,-,14,-,14,-,17
56,81--82,19,14,14,-,16,-,12,16
55,79--80,18,-,-,13,-,13,-,15
54,77--78,-,13,13,-,15,-,-,-
53,75--76,-,-,-,-,-,-,11,14
52,74,17,-,12,12,-,12,-,-
51,72--73,-,12,-,-,14,-,-,-
50,71,16,-,-,-,-,-,-,13
49,70,-,-,-,11,13,11,-,-
48,68--69,15,11,11,-,-,-,-,12
47,67,-,-,-,-,-,-,-,-
46,-,14,-,-,-,12,-,-,-
45,66,-,-,-,-,-,-,-,11
44,65,-,-,-,-,-,-,10,-
43,-,13,-,-,-,11,-,-,-
42,64,-,-,-,-,-,-,-,-
41,63,-,-,-,10,-,10,-,-
40,-,12,10,10,-,-,-,-,-
39,62,-,-,-,-,-,-,-,-
38,-,-,-,-,-,-,-,-,10
37,61,11,-,-,-,10,-,-,-
36,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,-,10,-,-,-,-,-,-,-
31,60,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
