IDNumber,AgeInMonths,AgeGroup,Gender,ParentHighestEducation,Ethnicity,Region,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
118024,7,4.00 to 9.99 months,Female,Bachelor's degree or higher,MultiRacial,south,94,18,17,16,14,14,16,17,27,55,57,43,57,49,61,56,59,62
118021,6,4.00 to 9.99 months,Male,Some college or associate degree,Hispanic,south,62,12,10,10,10,11,11,10,17,29,42,26,30,31,50,35,35,48
137001,9,4.00 to 9.99 months,Male,Bachelor's degree or higher,Hispanic,midwest,66,16,12,10,11,10,11,12,15,32,52,32,30,37,41,35,44,45
118041,7,4.00 to 9.99 months,Male,Bachelor's degree or higher,White,west,86,16,19,16,13,12,16,10,12,48,52,49,57,45,55,56,35,40
118050,5,4.00 to 9.99 months,Female,Bachelor's degree or higher,White,south,99,13,24,15,15,11,18,16,20,59,45,60,53,53,50,62,56,52
105007,5,4.00 to 9.99 months,Female,Bachelor's degree or higher,White,midwest,102,18,26,15,17,14,13,17,29,62,57,66,53,59,61,44,59,66
105013,4,4.00 to 9.99 months,Male,Bachelor's degree or higher,White,midwest,88,19,25,14,12,10,12,15,24,50,60,63,49,41,41,39,54,58
118068,8,4.00 to 9.99 months,Male,Some college or associate degree,White,south,101,15,18,17,17,13,19,17,22,61,50,46,59,59,59,65,59,55
105029,7,4.00 to 9.99 months,Male,Bachelor's degree or higher,White,midwest,61,10,10,10,10,10,11,10,10,25,31,26,30,31,41,35,35,35
118036,5,4.00 to 9.99 months,Male,Bachelor's degree or higher,White,south,111,14,27,19,20,13,14,18,23,68,48,68,63,68,59,48,62,57
105019,5,4.00 to 9.99 months,Female,Some college or associate degree,Hispanic,northeast,96,17,20,15,17,13,16,15,18,57,55,51,53,59,59,56,54,50
105036,4,4.00 to 9.99 months,Male,Bachelor's degree or higher,White,midwest,91,17,22,13,14,10,13,19,12,53,55,55,46,49,41,44,65,40
118033,5,4.00 to 9.99 months,Male,Bachelor's degree or higher,White,south,90,23,21,15,15,10,13,16,19,52,68,53,53,53,41,44,56,51
131007,8,4.00 to 9.99 months,Female,Bachelor's degree or higher,White,west,100,18,24,16,17,11,16,16,22,60,57,60,57,59,50,56,56,55
118073,8,4.00 to 9.99 months,Female,Some college or associate degree,White,south,92,14,19,16,16,11,17,13,20,54,48,49,57,56,50,59,48,52
133003,9,4.00 to 9.99 months,Male,Bachelor's degree or higher,White,west,87,10,27,12,13,11,14,10,10,49,31,68,41,45,50,48,35,35
118053,7,4.00 to 9.99 months,Female,Some college or associate degree,White,south,84,10,19,12,11,10,17,15,14,45,31,49,41,37,41,59,54,43
