IDNumber,AgeInMonths,AgeGroup,Gender,ParentHighestEducation,Ethnicity,Region,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
118001,28,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,91,16,16,18,16,15,13,13,14,54,51,53,59,56,58,44,48,52
118008,12,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,south,76,11,12,11,14,10,16,13,10,43,37,40,37,49,39,53,48,41
118023,30,10.00 to 30.99 months,Female,Bachelor's degree or higher,MultiRacial,south,104,19,17,19,16,15,18,19,13,62,59,56,62,56,58,60,67,49
118020,15,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,91,20,15,13,16,13,17,17,17,54,61,50,44,56,50,57,61,60
118022,29,10.00 to 30.99 months,Male,High school graduate (including GED),Hispanic,south,61,13,10,10,10,10,10,11,10,31,43,33,34,34,39,32,40,41
118025,18,10.00 to 30.99 months,Male,Bachelor's degree or higher,AmericanIndAlaskanNat,south,92,14,13,18,16,10,18,17,12,54,46,43,59,56,39,60,61,47
118028,27,10.00 to 30.99 months,Female,Some college or associate degree,White,south,76,10,13,13,14,15,10,11,11,43,34,43,44,49,58,32,40,44
118034,20,NA,Male,Bachelor's degree or higher,White,northeast,79,16,14,15,13,14,12,11,12,45,51,47,51,46,54,40,40,47
118038,26,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,93,11,15,15,17,16,16,14,11,55,37,50,51,59,61,53,51,44
137002,24,10.00 to 30.99 months,Male,Bachelor's degree or higher,White,midwest,76,14,13,13,12,11,14,13,12,43,46,43,44,42,43,47,48,47
118044,25,10.00 to 30.99 months,Male,High school graduate (including GED),White,northeast,118,17,18,14,23,13,27,23,10,71,54,58,47,75,50,75,75,41
118045,13,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,northeast,86,19,14,12,16,14,15,15,14,50,59,47,41,56,54,50,55,52
118047,17,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,south,96,16,17,19,17,15,13,15,16,57,51,56,62,59,58,44,55,57
118037,26,10.00 to 30.99 months,Female,Bachelor's degree or higher,White,midwest,105,16,15,15,23,17,18,17,13,63,51,50,51,75,64,60,61,49
118010,17,10.00 to 30.99 months,Male,Some college or associate degree,White,south,82,11,12,13,14,13,16,14,13,47,37,40,44,49,50,53,51,49
