age_range,n_SM,mean_SM,sd_SM,ES_SM,n_Qual,mean_Qual,sd_Qual,ES_Qual,diff,ES_diff
09.5 to 20 mo,208,89.05,15.03,NA,85,93.89,16.18,NA,-4.84,-0.31
21 to 31.5 mo,190,83.85,13.64,-0.36,30,88.87,15.88,-0.31,-5.02,-0.34
