age_range,n_Home,mean_Home,sd_Home,ES_Home,n_Daycare,mean_Daycare,sd_Daycare,ES_Daycare,diff,ES_diff
3.5 to 6 mo,152,90.89,12.65,NA,29,94.28,17.3,NA,-3.39,-0.23
7 to 10.5 mo,147,86.67,11.6,-0.35,35,89.4,11.83,-0.34,-2.73,-0.23
