Variable,Category,n
data,SM,616
,Qual,210
,Sp,44
AgeInMonths,4,54
,5,65
,10,36
,11,25
,12,21
,13,27
,14,21
,15,29
,16,33
,17,29
,18,31
,19,26
,20,31
,21,27
,22,23
,23,26
,24,31
,25,22
,26,29
,27,19
,28,19
,29,20
,30,18
,6,44
,7,54
,8,55
,9,55
Gender,Male,415
,Female,455
ParentHighestEducation,Did not complete high school (no diploma),31
,High school graduate (including GED),172
,Some college or associate degree,234
,Bachelor's degree or higher,433
Ethnicity,Hispanic,196
,Asian,10
,Black,89
,White,498
,AmericanIndAlaskanNat,1
,NativeHawPacIsl,1
,MultiRacial,69
,Other,6
Region,(missing),1
,northeast,79
,midwest,203
,south,385
,west,202
