scale,n,mean,sd
TOT_raw,139,90.35,13.13
SOC_raw,139,15.73,4.72
VIS_raw,139,20.73,4.14
HEA_raw,139,14.39,2.94
TOU_raw,139,14.55,2.96
TS_raw,139,11.58,2.54
BOD_raw,139,14.56,3.27
BAL_raw,139,14.53,3.2
PLA_raw,139,17.23,6.86
