data,age_range,n,median,mean,sd,ES,group
Qual,09.5 to 20 mo,85,93,93.89,16.18,NA,1
Qual,21 to 31.5 mo,30,89,88.87,15.88,-0.31,2
SM,09.5 to 20 mo,208,87,89.05,15.03,NA,1
SM,21 to 31.5 mo,190,82,83.85,13.64,-0.36,2
