data,age_range,n,median,mean,sd,ES,group
Daycare,3.5 to 6 mo,29,88,94.28,17.3,NA,1
Daycare,7 to 10.5 mo,35,90,89.4,11.83,-0.34,2
Home,3.5 to 6 mo,152,89,90.89,12.65,NA,1
Home,7 to 10.5 mo,147,87,86.67,11.6,-0.35,2
