scale,n,mean,sd
TOT_raw,168,84.42,13.95
SOC_raw,168,15.18,3.95
VIS_raw,168,15.08,3.48
HEA_raw,168,15.18,3.6
TOU_raw,168,14.05,3.05
TS_raw,168,13.06,2.69
BOD_raw,168,14.26,3.23
BAL_raw,168,12.79,2.52
PLA_raw,168,11.68,2.21
