scale,n,mean,sd
TOT_raw,870,88.45,17.18
SOC_raw,870,16.98,3.76
VIS_raw,870,15.66,4.01
HEA_raw,870,15.81,3.92
TOU_raw,870,14.09,3.23
TS_raw,870,15.62,3.88
BOD_raw,870,12.57,3.06
BAL_raw,870,14.7,3.47
PLA_raw,870,15.01,4.07
