T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,114--240,33--40,24--40,23--40,18--40,17--40,20--40,21--40,29--40
74,-,32,23,-,17,-,-,20,-
73,111--113,31,-,22,-,-,19,-,28
72,108--110,30,22,-,-,-,-,-,27
71,107,29,-,21,-,16,-,19,26
70,104--106,28,21,-,16,-,18,-,25
69,102--103,27,-,20,-,-,-,18,-
68,100--101,26,20,-,-,15,17,-,24
67,98--99,-,-,19,15,-,-,-,23
66,96--97,25,19,-,-,-,-,17,-
65,95,24,-,18,-,-,16,-,22
64,93--94,23,-,-,-,14,-,-,21
63,91--92,22,18,-,14,-,-,16,-
62,90,-,-,17,-,-,15,-,20
61,88--89,21,17,-,-,-,-,-,19
60,86--87,20,-,16,-,-,-,15,-
59,85,-,-,-,-,13,14,-,18
58,83--84,19,16,-,13,-,-,-,-
57,82,-,-,15,-,-,-,14,17
56,80--81,18,-,-,-,-,-,-,-
55,79,17,15,-,-,12,13,-,16
54,77--78,-,-,14,12,-,-,13,-
53,76,16,-,-,-,-,-,-,15
52,75,-,14,-,-,-,12,-,-
51,73--74,15,-,13,-,-,-,-,14
50,72,-,-,-,-,11,-,12,-
49,71,14,13,-,11,-,-,-,-
48,69--70,-,-,12,-,-,11,-,13
47,68,13,-,-,-,-,-,-,-
46,67,-,12,-,-,-,-,11,12
45,66,-,-,-,-,-,-,-,-
44,65,12,-,11,-,10,-,-,-
43,63--64,-,-,-,10,-,10,-,11
42,62,-,11,-,-,-,-,10,-
41,61,11,-,-,-,-,-,-,-
40,60,-,-,10,-,-,-,-,10
39,-,10,-,-,-,-,-,-,-
38,-,-,10,-,-,-,-,-,-
37,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
,10--59,41--240,41--240,41--240,41--240,41--240,41--240,41--240,41--240
