T,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
75,174--240,29--40,31--40,33--40,30--40,34--40,30--40,29--40,33--40
74,166--173,28,30,32,29,33,-,28,32
73,162--165,-,-,31,-,31--32,-,-,31
72,158--161,27,29,30,28,-,29,27,30
71,155--157,-,-,-,27,30,28,-,29
70,154,-,-,29,26,29,27,26,28
69,145--153,26,28,-,25,28,26,25,-
68,142--144,-,27,28,-,-,-,24,27
67,139--141,-,-,27,24,27,25,23,26
66,136--138,25,26,-,-,26,24,-,-
65,134--135,-,-,26,23,-,-,22,25
64,132--133,24,25,25,-,25,23,21,24
63,129--131,-,24,-,22,24,22,-,23
62,127--128,23,-,24,21,-,21,20,-
61,123--126,-,23,23,-,23,-,19,22
60,119--122,22,22,22,20,-,20,-,21
59,116--118,-,-,-,19,22,-,18,-
58,113--115,21,21,21,-,21,19,17,20
57,110--112,-,20,-,18,-,18,-,-
56,108--109,20,-,20,-,20,-,16,19
55,105--107,-,19,19,17,-,17,-,-
54,102--104,19,18,-,-,19,16,15,18
53,100--101,-,-,18,16,-,-,14,-
52,98--99,18,17,-,-,18,15,-,17
51,94--97,-,-,17,15,17,-,-,-
50,92--93,17,16,16,-,-,14,13,16
49,90--91,-,-,-,-,-,-,-,15
48,87--89,-,15,15,14,16,-,-,-
47,84--86,16,-,-,-,15,13,12,-
46,82--83,-,14,14,-,-,-,-,14
45,80--81,15,-,-,13,14,12,11,13
44,78--79,-,13,13,-,-,-,-,-
43,76--77,-,-,-,-,13,-,-,12
42,74--75,14,12,-,12,-,11,-,-
41,72--73,-,-,12,-,-,-,-,-
40,70--71,13,11,-,-,-,-,-,11
39,68--69,-,-,11,11,12,-,10,-
38,67,-,-,-,-,-,-,-,-
37,66,12,-,-,-,11,-,-,-
36,65,-,-,-,-,-,10,-,-
35,-,11,10,-,-,-,-,-,10
34,63--64,-,-,10,-,-,-,-,-
33,-,-,-,-,10,-,-,-,-
32,62,-,-,-,-,10,-,-,-
31,61,-,-,-,-,-,-,-,-
30,-,10,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-
28,60,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-
