mod_var,mod_val,n,mean_TOT,sd_TOT,ES_lag,ES_grand
Age Range,2 to 4 years,448,78.39,19.47,,0.06
"",5 years,91,71.99,15.64,-0.36,-0.28
Gender,Male,257,80.28,21.3,,0.16
"",Female,282,74.6,16.24,-0.3,-0.14
Ethnicity,Hispanic,67,80.45,25.81,,0.17
"",Asian,13,67.54,6.83,-0.79,-0.51
"",Black,99,80.88,26.14,0.81,0.19
"",White,321,75.87,13.9,-0.25,-0.08
"",AmericanIndAlaskanNat,1,69,,,-0.44
"",MultiRacial,31,81.06,22.88,,0.2
"",Other,7,65.29,6.55,-1.07,-0.63
Region,northeast,109,75.78,20.37,,-0.08
"",midwest,141,75.78,15.16,0,-0.08
"",south,219,80.21,20.86,0.25,0.15
"",west,70,73.69,16.79,-0.35,-0.19
