IDNumber,data,AgeInMonths,Gender,ParentHighestEducation,Ethnicity,Region,q0010,q0011,q0012,q0013,q0014,q0015,q0016,q0017,q0019,q0023,q0026,q0027,q0028,q0029,q0030,q0031,q0032,q0035,q0037,q0038,q0039,q0040,q0042,q0044,q0045,q0046,q0047,q0048,q0049,q0050,q0052,q0053,q0054,q0055,q0057,q0058,q0061,q0063,q0065,q0066,q0067,q0068,q0070,q0072,q0073,q0074,q0075,q0076,q0077,q0078,q0080,q0081,q0083,q0084,q0085,q0087,q0088,q0089,q0090,q0091,q0092,q0093,q0095,q0097,q0098,q0100,q0101,q0102,q0104,q0105,q0109,q0110,q0111,q0113,q0114,q0115,q0116,q0117,q0118,q0119,age_range,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw
105079,SM,5,Female,Bachelor's degree or higher,White,midwest,1,1,1,1,1,2,2,1,1,1,2,3,1,3,2,1,1,1,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,4,3,1,4,2,2,1,03.5 to 6 mo,83,12,20,11,13,10,15,14,20
126303,SM,5,Female,Bachelor's degree or higher,White,midwest,2,2,2,2,2,2,3,1,2,2,2,2,1,2,3,1,2,2,3,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,1,1,1,4,2,2,4,2,2,2,03.5 to 6 mo,94,20,20,16,17,11,13,17,21
105019,SM,5,Female,Some college or associate degree,Hispanic,northeast,2,1,2,2,1,3,3,1,1,1,3,3,1,2,3,1,2,1,3,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,2,2,4,1,3,1,1,1,1,1,3,1,2,1,1,1,1,4,2,3,1,1,1,1,1,1,1,3,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,3,3,3,03.5 to 6 mo,96,17,20,15,17,13,16,15,18
105036,SM,4,Male,Bachelor's degree or higher,White,midwest,2,1,1,2,1,2,2,2,2,2,3,3,1,2,3,1,2,2,3,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,1,03.5 to 6 mo,91,17,22,13,14,10,13,19,12
105062,SM,8,Male,Bachelor's degree or higher,White,south,1,1,1,1,1,2,2,2,1,1,2,3,1,3,3,1,2,1,3,2,1,1,1,1,2,2,1,3,1,1,2,1,1,2,2,1,3,2,2,2,1,1,1,1,1,2,1,2,2,1,1,4,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,4,2,2,3,3,2,2,07 to 10.5 mo,94,13,21,14,18,13,15,13,22
105077,SM,5,Male,Bachelor's degree or higher,White,midwest,2,2,2,2,1,3,2,3,1,1,2,2,1,2,3,2,2,1,3,1,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,4,1,2,3,2,2,1,03.5 to 6 mo,81,19,19,15,12,10,13,12,19
105078,SM,4,Female,High school graduate (including GED),Black,midwest,2,3,2,2,1,3,4,2,2,3,1,3,1,4,1,1,2,2,4,1,2,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,3,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,2,4,1,1,4,4,4,4,03.5 to 6 mo,87,24,20,15,12,11,15,14,27
119057,SM,9,Female,Some college or associate degree,White,south,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,3,2,4,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,4,2,1,2,2,2,1,07 to 10.5 mo,106,11,22,12,18,16,20,18,18
106015,SM,8,Female,Bachelor's degree or higher,White,midwest,1,2,2,1,1,3,2,2,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,07 to 10.5 mo,76,17,14,12,13,10,14,13,14
105086,SM,8,Female,Bachelor's degree or higher,White,midwest,1,1,1,1,1,2,1,1,1,2,3,3,2,3,3,1,2,1,3,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,4,1,1,07 to 10.5 mo,84,12,22,13,12,12,11,14,14
105103,SM,7,Male,Bachelor's degree or higher,White,midwest,1,1,1,1,1,1,1,1,1,1,4,4,2,4,4,1,4,1,4,2,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,4,2,2,4,1,1,1,1,1,1,1,1,2,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,07 to 10.5 mo,100,10,30,14,19,11,15,11,12
105104,SM,4,Female,Bachelor's degree or higher,White,midwest,2,3,3,2,1,2,3,2,2,2,4,3,1,2,3,2,3,2,3,1,1,2,2,1,2,1,2,2,1,2,1,1,2,1,2,2,4,1,1,2,1,1,1,1,1,1,2,1,1,1,2,3,1,2,1,2,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,3,3,4,2,1,3,4,3,3,03.5 to 6 mo,104,22,24,16,17,11,16,20,28
700272,Qual,8,Female,Some college or associate degree,White,midwest,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,3,1,1,1,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,4,2,1,2,2,2,2,07 to 10.5 mo,83,19,14,15,15,10,14,15,18
105115,SM,6,Male,Bachelor's degree or higher,White,midwest,2,2,2,3,1,2,3,2,2,1,2,3,1,2,3,1,2,1,3,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,2,1,3,1,1,1,2,3,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,3,2,2,03.5 to 6 mo,89,20,19,15,14,13,14,14,17
