n,scale,SOC_raw_alt2,VIS_raw_alt2,HEA_raw_alt2,TOU_raw_alt2,TS_raw_alt2,BOD_raw_alt2,BAL_raw_alt2,PLA_raw_alt2,TOT_raw_alt2
77,SOC_raw_alt1,0.408,0.199,0.228,0.29,-0.093,0.273,0.396,0.214,0.262
,VIS_raw_alt1,-0.111,0.678,0.724,0.744,0.414,0.796,0.73,0.503,0.85
,HEA_raw_alt1,-0.063,0.54,0.778,0.644,0.639,0.728,0.669,0.499,0.828
,TOU_raw_alt1,-0.178,0.333,0.642,0.775,0.682,0.768,0.699,0.26,0.79
,TS_raw_alt1,-0.136,0.179,0.497,0.455,0.885,0.555,0.454,0.303,0.613
,BOD_raw_alt1,-0.288,0.463,0.644,0.739,0.473,0.872,0.734,0.372,0.804
,BAL_raw_alt1,-0.156,0.623,0.544,0.683,0.367,0.739,0.761,0.61,0.768
,PLA_raw_alt1,0.05,0.414,0.387,0.431,0.186,0.518,0.479,0.774,0.501
,TOT_raw_alt1,-0.183,0.564,0.754,0.792,0.659,0.877,0.797,0.505,0.914
