form_dx,scale,n_typ,mean_typ,sd_typ,scale1,n_clin,mean_clin,sd_clin,ES
Home-ASD,SOC,92,50.16,10.52,SOC,91,64.64,6.27,1.06
,VIS,92,49.04,9.63,VIS,91,62.52,8.42,0.97
,HEA,92,48.93,9.3,HEA,91,63.24,6.52,1.14
,TOU,92,50.39,9.07,TOU,91,62.71,7.33,0.97
,TS,92,49.43,9.15,TS,91,59.48,8.77,0.74
,BOD,92,49.68,8.99,BOD,91,63.43,7.54,1.08
,BAL,92,48.89,8.56,BAL,91,63.23,9.44,1.08
,PLA,92,49.53,9.98,PLA,91,66.88,5.8,1.35
,TOT,92,49.14,9.64,TOT,91,64.85,6.61,1.21
School-ASD,SOC,69,47.94,9.31,SOC,68,66.04,9.34,1.29
,VIS,69,47.88,8,VIS,68,64.21,8.25,1.35
,HEA,69,48.17,7.27,HEA,68,65.49,8.54,1.5
,TOU,69,48.8,7.36,TOU,68,64.72,8.96,1.34
,TS,69,48.65,7.03,TS,68,64.21,9.67,1.31
,BOD,69,49.12,8.11,BOD,68,63.56,9.25,1.13
,BAL,69,49.65,8.42,BAL,68,61.6,10.28,0.88
,PLA,69,48.7,8.29,PLA,68,66.26,9.38,1.35
,TOT,69,48.25,7.78,TOT,68,66.04,7.92,1.52
Self-ASD,SOC,35,49.94,8.32,SOC,35,58.54,8.92,0.67
,VIS,35,50,6.52,VIS,35,58.29,9.15,0.75
,HEA,35,49.54,7.87,HEA,35,57.89,9.23,0.67
,TOU,35,48.2,7.19,TOU,35,57.43,7.54,0.84
,TS,35,47.11,7.7,TS,35,52.63,6.94,0.49
,BOD,35,49.29,7.22,BOD,35,55.77,9.21,0.55
,BAL,35,48.17,7.52,BAL,35,58.43,9.26,0.84
,PLA,35,49.4,8.49,PLA,35,60.09,8.31,0.85
,TOT,35,48.11,7.04,TOT,35,58.03,8.05,0.9
