form_dx,group,Variable,Category,n
Home-SPD,SPD,age_range,09.5 to 20 mo,1
,,"",21 to 31.5 mo,2
,,"",2 to 4 years,6
,,"",5 years,6
,,"",5 to 8 years,16
,,"",9 to 12 years,8
,,Gender,Male,32
,,"",Female,7
,,ParentHighestEducation,High school graduate (including GED),4
,,"",Some college or associate degree,5
,,"",Bachelor's degree or higher,30
,,Ethnicity,Hispanic,5
,,"",Asian,1
,,"",Black,2
,,"",White,25
,,"",MultiRacial,5
,,"",Other,1
,Matched typical,age_range,09.5 to 20 mo,1
,,"",21 to 31.5 mo,1
,,"",2 to 4 years,7
,,"",5 years,6
,,"",5 to 8 years,16
,,"",9 to 12 years,8
,,Gender,Male,32
,,"",Female,7
,,ParentHighestEducation,High school graduate (including GED),4
,,"",Some college or associate degree,5
,,"",Bachelor's degree or higher,30
,,Ethnicity,Hispanic,6
,,"",Black,2
,,"",White,25
,,"",MultiRacial,5
,,"",Other,1
School-SPD,SPD,age_range,2 to 4 years,7
,,"",5 years,5
,,"",5 to 8 years,16
,,"",9 to 12 years,5
,,"",14 to 15 years,1
,,Gender,Male,26
,,"",Female,8
,,Ethnicity,Hispanic,1
,,"",Asian,1
,,"",Black,1
,,"",White,27
,,"",MultiRacial,4
,Matched typical,age_range,2 to 4 years,7
,,"",5 years,5
,,"",5 to 8 years,16
,,"",9 to 12 years,5
,,"",14 to 15 years,1
,,Gender,Male,26
,,"",Female,8
,,Ethnicity,Hispanic,1
,,"",Asian,1
,,"",Black,1
,,"",White,27
,,"",MultiRacial,4
