age_range,n_SM,mean_SM,sd_SM,ES_SM,n_Qual,mean_Qual,sd_Qual,ES_Qual,diff,ES_diff
3.5 to 6 mo,103,91.39,13.01,NA,50,89.8,11.79,NA,1.59,0.13
7 to 10.5 mo,117,86.29,12.39,-0.4,30,88.17,7.81,-0.17,-1.88,-0.19
