scale,n,mean,sd
VIS_raw,253,16.36,3.69
HEA_raw,253,15.51,3.6
TOU_raw,253,14.96,3.26
TS_raw,253,13.24,3.33
BOD_raw,253,16.11,3.62
BAL_raw,253,14.78,3.54
TOT_raw,253,90.96,16.24
PLA_raw,253,14.52,4.9
SOC_raw,253,17.1,4.75
