age_range,n_SM,mean_SM,sd_SM,ES_SM,n_Qual,mean_Qual,sd_Qual,ES_Qual,diff,ES_diff
03.5 to 10 mo,240,87.63,17.3,NA,106,91.71,18,NA,-4.08,-0.23
11 to 31.5 mo,378,87.49,15.25,-0.01,102,90.93,20.2,-0.04,-3.44,-0.19
